alpha,gamma,x_star,y_star,period_theory,period_observed,prey_min,prey_max,predator_min,predator_max,invariant_drift
0.05,0.1,10.0,2.5,88.85765876316731,142.93333333333337,0.3940623647245508,48.52792326414185,0.0097912106138922,18.926823983923764,6.754284437304747e-9
0.05,0.3,30.0,2.5,51.30199320647456,59.46666666666667,13.094333572920076,57.46338290456785,0.20279385036985462,9.93081322475155,3.2106520775343483e-9
0.05,0.5,50.0,2.5,39.738353063184405,45.51666666666666,27.066873995779186,83.23429135454829,0.21240771435526237,9.788511406731425,5.138447889407871e-9
0.05,0.7,70.0,2.5,33.58503816725428,43.26153846153847,32.88506319499955,128.03434753572984,0.03989809598336506,14.836001310581366,7.927699829934909e-9
0.1,0.1,10.0,5.0,62.83185307179586,83.09999999999998,0.6311452464033234,42.79831096932668,0.31557261488225663,21.39892273636957,5.26999020290797e-9
0.1,0.3,30.0,5.0,36.275987284684355,37.70666666666667,17.753891352334296,46.88963527118439,1.8951651449522986,10.414771283343045,1.401702642844782e-9
0.1,0.5,50.0,5.0,28.099258924162907,29.021052631578954,34.008115216444494,70.35794909580706,1.9618148161472324,10.20863596443999,2.333701232259955e-9
0.1,0.7,70.0,5.0,23.74820823447452,26.363636363636363,37.37992556645844,117.62666917708634,0.6812422393221929,16.66781081420967,8.47954506610904e-9
0.2,0.1,10.0,10.0,44.428829381583654,53.81818181818182,0.7839190758448802,40.14284893878949,1.9930765005942535,28.646642076889016,2.238000978982413e-9
0.2,0.3,30.0,10.0,25.65099660323728,25.91304347826087,21.54465068736659,40.422202331528354,6.632812993284587,14.350071524976435,1.9969161879629382e-9
0.2,0.5,50.0,10.0,19.869176531592203,20.01379310344828,39.5821490417259,62.10275584017142,6.852546930735758,13.98919338355152,2.9041191673684352e-9
0.2,0.7,70.0,10.0,16.79251908362714,17.636363636363637,39.857650510930256,112.47980728191729,3.178546262162763,22.94552657626987,3.1925173615832136e-9
0.3,0.1,10.0,15.0,36.275987284684355,44.41538461538461,0.5554057431286538,44.35898211008919,3.688513903259682,39.10323179570883,3.162009820645295e-9
0.3,0.3,30.0,15.0,20.943951023931955,21.488888888888887,16.189767654043465,50.047654394111355,8.094883835266188,25.02382702081782,7.100626309153313e-9
0.3,0.5,50.0,15.0,16.223114703894446,16.542857142857144,31.705839173244073,74.25821287240502,8.221487649031841,24.756583041684117,2.0835850822464863e-9
0.3,0.7,70.0,15.0,13.71103441694515,14.399999999999999,36.05351716493681,120.54458468520421,5.117150558903554,33.12228436403952,9.866979233663642e-9
