beta,contacts,gamma,R0,peak_infected,peak_time,final_recovered,susceptible_end,population_error
0.025,5.0,0.15,0.8333333333333334,10.0,0.0,43.486065150116225,954.7662589561646,3.410605131648481e-13
0.025,5.0,0.25,0.5,10.0,0.0,19.697675094596267,980.2975083880475,3.410605131648481e-13
0.025,5.0,0.35,0.35714285714285715,10.0,0.0,15.446333700192861,984.5536540532345,6.821210263296962e-13
0.025,10.0,0.15,1.6666666666666667,99.5345120015855,37.4,566.2940435965342,385.2457865187862,2.2737367544323206e-13
0.025,10.0,0.25,1.0,10.0,0.0,106.11665808419924,890.3265317492143,2.2737367544323206e-13
0.025,10.0,0.35,0.7142857142857143,10.0,0.0,33.15171804429647,966.8323841815024,5.684341886080801e-13
0.025,15.0,0.15,2.5,237.5036082365745,22.0,882.3573633595245,109.05054983866559,2.2737367544323206e-13
0.025,15.0,0.25,1.5,69.72276245763499,26.0,573.1358150066264,419.0545995510355,5.684341886080801e-13
0.025,15.0,0.35,1.0714285714285714,11.653630699774162,14.2,182.2607489888492,814.3787635070183,2.2737367544323206e-13
0.04,5.0,0.15,1.3333333333333335,41.77619739619838,50.6,266.0991437579059,694.3013476560612,2.2737367544323206e-13
0.04,5.0,0.25,0.8,10.0,0.0,43.641052589285025,956.0326842922959,3.410605131648481e-13
0.04,5.0,0.35,0.5714285714285715,10.0,0.0,22.830959802016224,977.1680861473621,3.410605131648481e-13
0.04,10.0,0.15,2.666666666666667,260.9561354268375,20.4,905.2045395087766,88.57292031232662,5.684341886080801e-13
0.04,10.0,0.25,1.6,87.52917824042824,23.8,638.7680032529829,356.26546384674583,2.2737367544323206e-13
0.04,10.0,0.35,1.142857142857143,16.953998451273563,21.6,259.8485304295026,735.6358255758819,4.547473508864641e-13
0.04,15.0,0.15,4.0,405.89022740887134,13.0,979.2104004741907,19.704821286143194,1.0231815394945443e-12
0.04,15.0,0.25,2.4,222.71646735974898,13.8,880.0918159926911,119.75938259380126,9.094947017729282e-13
0.04,15.0,0.35,1.7142857142857144,108.11390847610089,15.4,703.399689600415,296.44950601598487,4.547473508864641e-13
0.055,5.0,0.15,1.8333333333333335,129.40790053327896,32.8,677.2712069361334,286.014086684566,4.547473508864641e-13
0.055,5.0,0.25,1.1,13.400131227877598,25.4,176.27730698640886,815.4987631997133,3.410605131648481e-13
0.055,5.0,0.35,0.7857142857142858,10.0,0.0,42.30592760077955,957.6329584765292,4.547473508864641e-13
0.055,10.0,0.15,3.666666666666667,375.663317175794,14.2,970.2867231620961,28.218758677052634,7.958078640513122e-13
0.055,10.0,0.25,2.2,191.61684919028505,15.4,845.6242755506215,154.05836697129672,4.547473508864641e-13
0.055,10.0,0.35,1.5714285714285716,82.4043976851639,17.4,633.9830679509043,365.56563403602826,5.684341886080801e-13
0.055,15.0,0.15,5.5,509.9548988125447,9.2,995.4028694321306,4.149505462137586,3.410605131648481e-13
0.055,15.0,0.25,3.3,338.2051973137728,9.6,958.0512687890046,41.935627168413916,9.094947017729282e-13
0.055,15.0,0.35,2.357142857142857,216.23023719292806,10.2,873.7665992445204,126.23083376912315,7.958078640513122e-13
0.07,5.0,0.15,2.3333333333333335,212.6062882421393,24.0,852.3399610664407,135.49187841585308,7.958078640513122e-13
0.07,5.0,0.25,1.4000000000000001,52.55576678757412,28.6,490.3261908223278,498.3229077230796,4.547473508864641e-13
0.07,5.0,0.35,1.0000000000000002,10.0,0.0,121.54269119295188,876.6977147453233,4.547473508864641e-13
0.07,10.0,0.15,4.666666666666667,457.7688475872318,11.0,989.5569237653331,9.774457759756343,4.547473508864641e-13
0.07,10.0,0.25,2.8000000000000003,278.70022258933574,11.6,925.8681306245853,74.08952633779657,3.410605131648481e-13
0.07,10.0,0.35,2.0000000000000004,158.4271712469989,12.6,800.1702179817588,199.8095188895724,4.547473508864641e-13
0.07,15.0,0.15,7.000000000000001,580.3509421147575,7.2,998.7914932927258,0.9104325075089634,6.821210263296962e-13
0.07,15.0,0.25,4.2,422.5716604284346,7.4,984.1275717006824,15.869025728731417,9.094947017729282e-13
0.07,15.0,0.35,3.0000000000000004,303.8112114210174,7.6,941.2024159757165,58.797403463732294,5.684341886080801e-13
