time,black,white,total,empty,temperature,luminosity,albedo,regulation_error
0,180,180,360,540,16.91353620493854,1.0,0.43999999999999645,5.586463795061459
1,392,242,634,266,25.51793661000482,1.0,0.42877777777777704,3.0179366100048206
2,446,360,806,94,29.400472442352015,1.0,0.46566666666666634,6.900472442352015
3,456,423,879,21,27.718295215211604,1.0,0.48849999999999993,5.218295215211604
4,461,438,899,1,24.85709752918128,1.0,0.4935,2.3570975291812815
5,457,440,897,3,23.033050918393936,1.0,0.4949444444444444,0.5330509183939363
6,460,439,899,1,22.015287145801697,1.0,0.4940555555555555,0.48471285419830323
7,460,440,900,0,21.506405259505563,1.0,0.49444444444444446,0.9935947404944372
8,460,439,899,1,21.251964316357505,1.0,0.4940555555555555,1.2480356836424953
9,458,439,897,3,21.247651577371073,1.0,0.4943888888888889,1.252348422628927
10,459,439,898,2,21.131513217342828,1.0,0.4942222222222222,1.3684867826571718
11,454,445,899,1,20.880498805752794,1.0,0.4973888888888889,1.6195011942472064
12,454,446,900,0,20.605990859928568,1.0,0.49777777777777776,1.8940091400714323
13,458,442,900,0,20.556625870109922,1.0,0.4955555555555556,1.9433741298900777
14,457,443,900,0,20.636999623683057,1.0,0.4961111111111111,1.8630003763169434
15,456,443,899,1,20.738298257405376,1.0,0.49627777777777776,1.7617017425946244
16,458,439,897,3,20.946189837632165,1.0,0.4943888888888888,1.553810162367835
17,458,439,897,3,21.05974558851425,1.0,0.4943888888888888,1.4402544114857498
18,462,437,899,1,20.959281200589643,1.0,0.4929444444444444,1.5407187994103566
19,464,435,899,1,21.03264095793107,1.0,0.4918333333333333,1.4673590420689315
20,469,431,900,0,21.445601338984932,1.0,0.48944444444444446,1.0543986610150675
21,476,424,900,0,21.81069223030973,1.0,0.4855555555555556,0.6893077696902701
22,472,426,898,2,22.177257165495494,1.0,0.487,0.32274283450450625
23,474,425,899,1,22.097556902524143,1.0,0.48627777777777775,0.4024430974758566
24,474,426,900,0,22.197781769015084,1.0,0.4866666666666667,0.3022182309849164
25,478,422,900,0,22.248578420976685,1.0,0.48444444444444446,0.2514215790233152
26,368,483,851,49,22.64969662559667,1.0,0.5264999999999993,0.1496966255966683
27,411,480,891,9,22.96283838226643,1.0,0.5181666666666667,0.4628383822664297
28,441,453,894,6,22.10175107163635,1.0,0.5026666666666666,0.39824892836364967
29,446,453,899,1,21.345029373929943,1.0,0.5018333333333334,1.1549706260700567
30,452,447,899,1,20.723589934765997,1.0,0.4985,1.7764100652340034
31,450,446,896,4,20.509000721613923,1.0,0.4984444444444444,1.9909992783860773
32,449,444,893,7,20.453892129921062,1.0,0.4978333333333333,2.046107870078938
33,452,441,893,7,20.45243084151621,1.0,0.4961666666666666,2.047569158483789
34,461,433,894,6,20.72429288864671,1.0,0.4915555555555555,1.7757071113532916
35,464,431,895,5,21.09779785405072,1.0,0.49027777777777776,1.4022021459492784
36,466,429,895,5,21.4431610375506,1.0,0.4891666666666667,1.056838962449401
37,465,431,896,4,21.589749621858953,1.0,0.49011111111111116,0.9102503781410469
38,463,434,897,3,21.49619168987879,1.0,0.4916111111111111,1.0038083101212116
39,466,433,899,1,21.475505731330312,1.0,0.49072222222222217,1.024494268669688
40,471,428,899,1,21.59699622669625,1.0,0.4879444444444444,0.9030037733037517
41,470,428,898,2,21.876779713396697,1.0,0.4881111111111111,0.6232202866033028
42,473,426,899,1,22.017355675463058,1.0,0.4868333333333333,0.48264432453694184
43,467,432,899,1,21.92147565107803,1.0,0.49016666666666664,0.5785243489219702
44,467,432,899,1,21.645571657815434,1.0,0.49016666666666664,0.8544283421845655
45,469,431,900,0,21.699196455327822,1.0,0.48944444444444446,0.8008035446721777
46,465,435,900,0,21.629878347654117,1.0,0.49166666666666664,0.8701216523458832
47,471,429,900,0,21.7092012843523,1.0,0.48833333333333334,0.7907987156476999
48,469,431,900,0,21.696676737818215,1.0,0.48944444444444446,0.8033232621817845
49,468,431,899,1,21.777619228928504,1.0,0.4896111111111111,0.7223807710714958
50,462,437,899,1,21.634070984960296,1.0,0.4929444444444444,0.8659290150397041
51,475,397,872,28,24.792325137261084,1.0,0.4752222222222219,2.2923251372610842
52,442,423,865,35,27.511956337477944,1.0,0.4908333333333329,5.011956337477944
53,430,455,885,15,25.435798276119357,1.0,0.5052777777777776,2.935798276119357
54,433,460,893,7,22.79920360434204,1.0,0.5067222222222222,0.29920360434203985
55,432,466,898,2,20.825844207549213,1.0,0.5092222222222221,1.6741557924507866
56,435,464,899,1,19.699089511176183,1.0,0.5079444444444444,2.800910488823817
57,431,465,896,4,19.223601146083116,1.0,0.5089999999999999,3.2763988539168842
58,427,470,897,3,18.809394778633575,1.0,0.511611111111111,3.6906052213664253
59,420,476,896,4,18.30360589613429,1.0,0.515111111111111,4.19639410386571
