time,black,white,total,empty,temperature,luminosity,albedo,regulation_error,control_temperature,temperature_advantage
0,180,180,360,540,16.91353620493854,1.0,0.43999999999999645,5.586463795061459,21.610277544424275,-4.696741339485733
1,392,242,634,266,25.51793661000482,1.0,0.42877777777777704,3.0179366100048206,32.415416316636566,6.897479706631746
2,446,360,806,94,29.400472442352015,1.0,0.46566666666666634,6.900472442352015,37.81798570274259,8.417513260390574
3,456,423,879,21,27.718295215211604,1.0,0.48849999999999993,5.218295215211604,40.51927039579563,12.800975180584025
4,461,438,899,1,24.85709752918128,1.0,0.4935,2.3570975291812815,41.869912742322256,17.012815213140975
5,457,440,897,3,23.033050918393936,1.0,0.4949444444444444,0.5330509183939363,42.54523391558541,19.512182997191477
6,460,439,899,1,22.015287145801697,1.0,0.4940555555555555,0.48471285419830323,42.882894502217084,19.89818164801878
7,460,440,900,0,21.506405259505563,1.0,0.49444444444444446,0.9935947404944372,43.05172479553284,19.558130055038404
8,460,439,899,1,21.251964316357505,1.0,0.4940555555555555,1.2480356836424953,43.13613994219064,19.388104258548143
9,458,439,897,3,21.247651577371073,1.0,0.4943888888888889,1.252348422628927,43.17834751551966,19.425999092890734
10,459,439,898,2,21.131513217342828,1.0,0.4942222222222222,1.3684867826571718,43.19945130218425,19.33096451952708
11,454,445,899,1,20.880498805752794,1.0,0.4973888888888889,1.6195011942472064,43.21000319551623,19.090502001269023
12,454,446,900,0,20.605990859928568,1.0,0.49777777777777776,1.8940091400714323,43.215279142182524,18.821270002111092
13,458,442,900,0,20.556625870109922,1.0,0.4955555555555556,1.9433741298900777,43.21791711551559,18.774542985625512
14,457,443,900,0,20.636999623683057,1.0,0.4961111111111111,1.8630003763169434,43.219236102182364,18.85623572586542
15,456,443,899,1,20.738298257405376,1.0,0.49627777777777776,1.7617017425946244,43.219895595515474,18.95819385292085
16,458,439,897,3,20.946189837632165,1.0,0.4943888888888888,1.553810162367835,43.22022534218197,19.166415179814134
17,458,439,897,3,21.05974558851425,1.0,0.4943888888888888,1.4402544114857498,43.22039021551537,19.280135804029623
18,462,437,899,1,20.959281200589643,1.0,0.4929444444444444,1.5407187994103566,43.22047265218197,19.17975385277161
19,464,435,899,1,21.03264095793107,1.0,0.4918333333333333,1.4673590420689315,43.2205138705156,19.25315482844667
20,469,431,900,0,21.445601338984932,1.0,0.48944444444444446,1.0543986610150675,43.22053447968209,19.66613581866702
21,476,424,900,0,21.81069223030973,1.0,0.4855555555555556,0.6893077696902701,43.220544784265414,20.031237014575144
22,472,426,898,2,22.177257165495494,1.0,0.487,0.32274283450450625,43.220549936557134,20.397807102052628
23,474,425,899,1,22.097556902524143,1.0,0.48627777777777775,0.4024430974758566,43.22055251270284,20.31810941522698
24,474,426,900,0,22.197781769015084,1.0,0.4866666666666667,0.3022182309849164,43.22055380077582,20.4183355697909
25,478,422,900,0,22.248578420976685,1.0,0.48444444444444446,0.2514215790233152,43.2205544448122,20.469132865788886
