run,max_age,init_white,time,black,white,total,empty,temperature,luminosity,albedo,regulation_error
1,25,0.2,0,180,180,360,540,16.91353620493854,1.0,0.43999999999999645,5.586463795061459
1,25,0.2,5,457,440,897,3,23.033050918393936,1.0,0.4949444444444444,0.5330509183939363
1,25,0.2,45,469,431,900,0,21.699196455327822,1.0,0.48944444444444446,0.8008035446721777
2,25,0.8,0,180,720,900,0,-1.9965885219056738,1.0,0.65,24.496588521905675
2,25,0.8,5,315,575,890,10,5.464411518546583,1.0,0.5711111111111111,17.035588481453416
2,25,0.8,45,468,431,899,1,21.100217020417116,1.0,0.4896111111111111,1.3997829795828842
3,40,0.2,0,180,180,360,540,16.91353620493854,1.0,0.43999999999999645,5.586463795061459
3,40,0.2,5,433,465,898,2,20.887532299716373,1.0,0.5086666666666666,1.6124677002836272
3,40,0.2,45,448,447,895,5,21.027307717937195,1.0,0.49916666666666654,1.4726922820628054
4,40,0.8,0,180,720,900,0,-1.9965885219056738,1.0,0.65,24.496588521905675
4,40,0.8,5,264,629,893,7,2.2216860187885703,1.0,0.6006111111111111,20.27831398121143
4,40,0.8,45,502,397,899,1,26.14972514008763,1.0,0.4707222222222222,3.6497251400876287
