time,city,susceptible,infected,recovered,living,deaths,closed,case,infected_fraction
0,1,1000,0,0,1000,0,false,однородная,0.0
0,2,1000,0,0,1000,0,false,однородная,0.0
0,3,997,3,0,1000,0,false,однородная,0.003
1,1,987,1,0,988,0,false,однородная,0.0010121457489878543
1,2,1011,0,0,1011,0,false,однородная,0.0
1,3,995,6,0,1001,0,false,однородная,0.005994005994005994
2,1,978,12,0,990,0,false,однородная,0.012121212121212121
2,2,996,0,0,996,0,false,однородная,0.0
2,3,1009,5,0,1014,0,false,однородная,0.004930966469428008
3,1,972,32,0,1004,0,false,однородная,0.03187250996015936
3,2,1005,0,0,1005,0,false,однородная,0.0
3,3,981,10,0,991,0,false,однородная,0.010090817356205853
4,1,955,59,0,1014,0,false,однородная,0.05818540433925049
4,2,995,2,0,997,0,false,однородная,0.0020060180541624875
4,3,971,18,0,989,0,false,однородная,0.01820020222446916
5,1,905,99,0,1004,0,false,однородная,0.09860557768924302
5,2,988,11,0,999,0,false,однородная,0.011011011011011011
5,3,968,29,0,997,0,false,однородная,0.029087261785356068
6,1,842,156,0,998,0,false,однородная,0.156312625250501
6,2,980,21,0,1001,0,false,однородная,0.02097902097902098
6,3,947,54,0,1001,0,false,однородная,0.053946053946053944
7,1,761,247,0,1008,0,false,однородная,0.24503968253968253
7,2,952,30,0,982,0,false,однородная,0.03054989816700611
7,3,918,92,0,1010,0,false,однородная,0.09108910891089109
8,1,624,384,0,1008,0,false,однородная,0.38095238095238093
8,2,917,60,0,977,0,false,однородная,0.06141248720573183
8,3,868,147,0,1015,0,false,однородная,0.14482758620689656
9,1,413,594,0,1007,0,false,однородная,0.5898709036742801
9,2,858,128,0,986,0,false,однородная,0.12981744421906694
9,3,779,228,0,1007,0,false,однородная,0.22641509433962265
10,1,116,884,0,1000,0,false,однородная,0.884
10,2,742,250,0,992,0,false,однородная,0.25201612903225806
10,3,635,373,0,1008,0,false,однородная,0.37003968253968256
11,1,0,1001,0,1001,0,false,однородная,1.0
11,2,572,417,0,989,0,false,однородная,0.42163801820020225
11,3,407,603,0,1010,0,false,однородная,0.597029702970297
12,1,0,1006,0,1006,0,false,однородная,1.0
12,2,306,687,0,993,0,false,однородная,0.6918429003021148
12,3,53,948,0,1001,0,false,однородная,0.9470529470529471
13,1,0,1016,0,1016,0,false,однородная,1.0
13,2,0,987,0,987,0,false,однородная,1.0
13,3,0,997,0,997,0,false,однородная,1.0
14,1,0,994,0,994,0,false,однородная,1.0
14,2,0,997,0,997,0,false,однородная,1.0
14,3,0,1009,0,1009,0,false,однородная,1.0
15,1,0,990,0,990,0,false,однородная,1.0
15,2,0,993,0,993,0,false,однородная,1.0
15,3,0,1017,0,1017,0,false,однородная,1.0
16,1,0,982,0,982,0,false,однородная,1.0
16,2,0,1007,1,1008,0,false,однородная,0.9990079365079365
16,3,0,1010,0,1010,0,false,однородная,1.0
17,1,0,980,2,982,0,false,однородная,0.9979633401221996
17,2,0,1012,0,1012,1,false,однородная,1.0
17,3,0,1005,0,1005,0,false,однородная,1.0
