migration_intensity,seed,arrival_city_2,arrival_city_3,peak_fraction,peak_day,final_infected,final_recovered,deaths,attack_rate
0.0,42,,,0.3333333333333333,13,0.28530771967271434,0.003,189,0.3333333333333333
0.0,43,,,0.3333333333333333,14,0.2895575221238938,0.0023333333333333335,175,0.3333333333333333
0.0,44,,,0.3333333333333333,12,0.28122769450392576,0.004666666666666667,198,0.3333333333333333
0.1,42,5,2,1.0,16,1.0,0.0,544,1.0
0.1,43,4,3,1.0,14,0.9942052980132451,0.004666666666666667,584,1.0
0.1,44,2,6,1.0,16,0.9987927565392354,0.001,515,1.0
0.2,42,1,2,1.0,17,1.0,0.0,566,1.0
0.2,43,2,3,1.0,16,0.9991869918699187,0.0006666666666666666,540,1.0
0.2,44,1,2,1.0,16,0.9987745098039216,0.001,552,1.0
0.3,42,1,2,1.0,16,0.9995877988458368,0.0003333333333333333,574,1.0
0.3,43,1,2,1.0,18,0.9987794955248169,0.001,542,1.0
0.3,44,1,2,1.0,15,0.9983726606997559,0.0013333333333333333,542,1.0
0.4,42,3,1,1.0,19,0.9995939910678034,0.0003333333333333333,537,1.0
0.4,43,1,3,1.0,16,1.0,0.0,566,1.0
0.4,44,1,2,1.0,16,0.9967333605553287,0.0026666666666666666,551,1.0
0.5,42,2,1,1.0,15,0.9987709954936501,0.001,559,1.0
0.5,43,1,2,1.0,18,1.0,0.0,572,1.0
0.5,44,1,2,1.0,16,0.9996,0.0003333333333333333,500,1.0
