quarantine,seed,peak_fraction,peak_day,final_infected,final_recovered,deaths,attack_rate,quarantine_days
false,101,1.0,13,0.9675850891410048,0.02666666666666667,532,1.0,0
false,102,1.0,15,0.9803370786516854,0.01633333333333333,508,1.0,0
false,103,1.0,14,0.9783653846153846,0.018,504,1.0,0
false,104,1.0,16,0.9931863727454909,0.005666666666666667,505,1.0,0
false,105,1.0,16,0.9935012185215272,0.005333333333333333,538,1.0,0
true,101,1.0,15,0.9660606060606061,0.028,525,1.0,135
true,102,1.0,16,0.9823293172690764,0.014666666666666666,510,1.0,134
true,103,1.0,15,0.9831798157789348,0.014,503,1.0,134
true,104,1.0,17,0.9935222672064777,0.005333333333333333,530,1.0,132
true,105,1.0,16,0.9920318725099602,0.006666666666666667,490,1.0,132
