time,susceptible,infected,recovered,living,deaths,infected_fraction,closed_cities
0,2999,1,0,3000,0,0.0003333333333333333,0
1,2998,2,0,3000,0,0.0006666666666666666,0
2,2994,6,0,3000,0,0.002,0
3,2991,9,0,3000,0,0.003,0
4,2988,12,0,3000,0,0.004,0
5,2986,14,0,3000,0,0.004666666666666667,0
6,2975,25,0,3000,0,0.008333333333333333,0
7,2966,34,0,3000,0,0.011333333333333334,0
8,2937,63,0,3000,0,0.021,0
9,2899,101,0,3000,0,0.033666666666666664,0
10,2825,175,0,3000,0,0.058333333333333334,0
11,2739,261,0,3000,0,0.087,0
12,2587,413,0,3000,0,0.13766666666666666,0
13,2288,711,1,3000,0,0.237,0
14,1863,1133,4,3000,0,0.37766666666666665,0
15,1274,1722,4,3000,0,0.574,0
16,818,2177,5,3000,0,0.7256666666666667,0
17,351,2646,3,3000,0,0.882,0
18,0,3000,0,3000,0,1.0,0
19,0,2998,0,2998,2,1.0,0
20,0,2995,3,2998,2,0.9989993328885924,0
21,0,2996,2,2998,2,0.9993328885923949,0
22,0,2990,8,2998,2,0.9973315543695798,0
23,0,2984,12,2996,4,0.9959946595460614,0
24,0,2969,23,2992,8,0.9923128342245989,0
25,0,2939,47,2986,14,0.9842598794373744,0
26,0,2899,79,2978,22,0.9734721289456011,0
27,0,2832,138,2970,30,0.9535353535353536,0
28,0,2927,27,2954,46,0.9908598510494245,0
29,0,2921,25,2946,54,0.9915139171758316,0
30,0,2921,20,2941,59,0.9931995919755185,0
31,0,2935,0,2935,65,1.0,0
32,0,2935,0,2935,65,1.0,0
33,0,2932,2,2934,66,0.9993183367416496,0
34,0,2930,3,2933,67,0.9989771564950563,0
35,0,2924,8,2932,68,0.9972714870395635,0
36,0,2923,8,2931,69,0.9972705561241897,0
37,0,2909,21,2930,70,0.9928327645051195,0
38,0,2883,43,2926,74,0.9853041695146958,0
39,0,2836,82,2918,82,0.971898560657985,0
40,0,2805,105,2910,90,0.9639175257731959,0
41,0,2864,36,2900,100,0.9875862068965517,0
42,0,2870,22,2892,108,0.9923928077455049,0
43,0,2869,13,2882,118,0.9954892435808467,0
44,0,2882,0,2882,118,1.0,0
45,0,2882,0,2882,118,1.0,0
46,0,2880,2,2882,118,0.9993060374739764,0
47,0,2878,2,2880,120,0.9993055555555556,0
48,0,2873,6,2879,121,0.9979159430357764,0
49,0,2871,7,2878,122,0.9975677553856845,0
50,0,2857,20,2877,123,0.9930483142161974,0
51,0,2838,35,2873,127,0.9878176122520014,0
52,0,2790,75,2865,135,0.9738219895287958,0
53,0,2748,107,2855,145,0.9625218914185639,0
54,0,2794,43,2837,163,0.984843144166373,0
55,0,2799,27,2826,174,0.9904458598726115,0
56,0,2803,18,2821,179,0.9936192839418646,0
57,0,2817,0,2817,183,1.0,0
58,0,2816,0,2816,184,1.0,0
59,0,2814,0,2814,186,1.0,0
60,0,2811,1,2812,188,0.9996443812233285,0
61,0,2803,7,2810,190,0.997508896797153,0
62,0,2803,6,2809,191,0.9978640085439658,0
63,0,2779,29,2808,192,0.9896723646723646,0
64,0,2764,40,2804,196,0.985734664764622,0
65,0,2709,94,2803,197,0.966464502318944,0
66,0,2668,127,2795,205,0.954561717352415,0
67,0,2748,38,2786,214,0.9863603732950467,0
68,0,2757,17,2774,226,0.9938716654650325,0
69,0,2759,12,2771,229,0.9956694334175388,0
70,0,2768,0,2768,232,1.0,0
71,0,2768,0,2768,232,1.0,0
72,0,2764,3,2767,233,0.9989157932779184,0
73,0,2763,3,2766,234,0.9989154013015185,0
74,0,2759,7,2766,234,0.997469269703543,0
75,0,2757,7,2764,236,0.9974674384949349,0
76,0,2737,25,2762,238,0.9909485879797248,0
77,0,2722,33,2755,245,0.988021778584392,0
78,0,2697,53,2750,250,0.9807272727272728,0
79,0,2631,112,2743,257,0.959168793292016,0
80,0,2692,40,2732,268,0.9853587115666179,0
81,0,2701,26,2727,273,0.9904657132379905,0
82,0,2700,12,2712,288,0.995575221238938,0
83,0,2710,0,2710,290,1.0,0
84,0,2710,0,2710,290,1.0,0
85,0,2707,3,2710,290,0.9988929889298893,0
86,0,2707,3,2710,290,0.9988929889298893,0
87,0,2704,4,2708,292,0.9985228951255539,0
88,0,2698,9,2707,293,0.9966752862947913,0
89,0,2680,26,2706,294,0.9903917220990391,0
90,0,2655,47,2702,298,0.9826054774241303,0
91,0,2624,76,2700,300,0.9718518518518519,0
92,0,2571,119,2690,310,0.9557620817843866,0
93,0,2649,28,2677,323,0.9895405304445275,0
94,0,2638,31,2669,331,0.9883851629823904,0
95,0,2642,20,2662,338,0.9924868519909842,0
96,0,2662,0,2662,338,1.0,0
97,0,2662,0,2662,338,1.0,0
98,0,2660,2,2662,338,0.9992486851990984,0
99,0,2658,4,2662,338,0.9984973703981969,0
100,0,2653,8,2661,339,0.9969936114242766,0
