beta,seed,R0,peak_fraction,peak_day,final_infected,final_recovered,deaths,attack_rate
0.1,42,1.4000000000000001,0.0003333333333333333,0,0.0,0.0003333333333333333,0,0.0003333333333333333
0.1,43,1.4000000000000001,0.0006666666666666666,5,0.0,0.0006666666666666666,0,0.0006666666666666666
0.1,44,1.4000000000000001,0.0003333333333333333,0,0.0,0.0003333333333333333,0,0.0003333333333333333
0.2,42,2.8000000000000003,0.9951523545706371,93,0.9650104968509448,0.03333333333333333,142,1.0
0.2,43,2.8000000000000003,0.0013333333333333333,6,0.0,0.0013333333333333333,0,0.0013333333333333333
0.2,44,2.8000000000000003,0.0003333333333333333,0,0.0,0.0003333333333333333,0,0.0003333333333333333
0.3,42,4.2,0.9993324432576769,35,0.99889339727038,0.001,289,1.0
0.3,43,4.2,0.9996564754379939,56,0.9802631578947368,0.018,264,1.0
0.3,44,4.2,0.0003333333333333333,0,0.0,0.0003333333333333333,0,0.0003333333333333333
0.4,42,5.6000000000000005,1.0,37,0.9894578313253012,0.009333333333333334,344,1.0
0.4,43,5.6000000000000005,1.0,28,0.9865971705137752,0.012,314,1.0
0.4,44,5.6000000000000005,1.0,36,0.999632892804699,0.0003333333333333333,276,1.0
0.5,42,7.0,1.0,18,0.9969936114242766,0.0026666666666666666,339,1.0
0.5,43,7.0,1.0,23,0.997737556561086,0.002,348,1.0
0.5,44,7.0,1.0,23,1.0,0.0,321,1.0
0.6,42,8.4,1.0,15,0.9837244511733535,0.014333333333333333,358,1.0
0.6,43,8.4,1.0,21,1.0,0.0,370,1.0
0.6,44,8.4,1.0,18,0.9996265870052278,0.0003333333333333333,322,1.0
0.7,42,9.799999999999999,1.0,13,0.9811888638073739,0.016666666666666666,342,1.0
0.7,43,9.799999999999999,1.0,17,0.9992584352984798,0.0006666666666666666,303,1.0
0.7,44,9.799999999999999,1.0,13,0.9723903177004538,0.024333333333333332,356,1.0
0.8,42,11.200000000000001,1.0,11,0.9851258581235698,0.013,378,1.0
0.8,43,11.200000000000001,1.0,15,0.9936257967754031,0.005666666666666667,333,1.0
0.8,44,11.200000000000001,1.0,11,0.9460486322188449,0.04733333333333333,368,1.0
0.9,42,12.6,1.0,11,0.9806083650190114,0.017,370,1.0
0.9,43,12.6,1.0,10,0.9852827265685515,0.012666666666666666,418,1.0
0.9,44,12.6,1.0,10,0.998056743101438,0.0016666666666666668,427,1.0
1.0,42,14.0,1.0,10,0.9972910216718266,0.0023333333333333335,416,1.0
1.0,43,14.0,1.0,10,0.9996177370030581,0.0003333333333333333,384,1.0
1.0,44,14.0,1.0,9,1.0,0.0,394,1.0
