beta,R0,mean_peak_fraction,sd_peak_fraction,mean_deaths,mean_attack_rate,epidemic
0.1,1.4000000000000001,0.0004444444444444444,0.00019245008972987527,0.0,0.0004444444444444444,false
0.2,2.8000000000000003,0.33227300707910123,0.5740705723150276,47.333333333333336,0.3338888888888889,true
0.3,4.2,0.6664407506763347,0.5768659678198533,184.33333333333334,0.6667777777777778,true
0.4,5.6000000000000005,1.0,0.0,311.3333333333333,1.0,true
0.5,7.0,1.0,0.0,336.0,1.0,true
0.6,8.4,1.0,0.0,350.0,1.0,true
0.7,9.799999999999999,1.0,0.0,333.6666666666667,1.0,true
0.8,11.200000000000001,1.0,0.0,359.6666666666667,1.0,true
0.9,12.6,1.0,0.0,405.0,1.0,true
1.0,14.0,1.0,0.0,398.0,1.0,true
