philosophers,right_rate,variant,deadlock_probability,mean_throughput,sd_throughput,mean_fairness,mean_events
3,0.4,Классическая,1.0,0.006666666666666667,0.013026778945578592,0.1111111111111111,4.0
3,0.4,С арбитром,0.0,0.3016666666666667,0.06464354475729095,0.9309456383962065,47.5
3,0.8,Классическая,1.0,0.0033333333333333335,0.0077849894416152305,0.05555555555555555,3.5
3,0.8,С арбитром,0.0,0.4650000000000001,0.05916079783099614,0.939850300049049,72.0
3,1.2,Классическая,1.0,0.02,0.03908033683673577,0.20105820105820107,6.0
3,1.2,С арбитром,0.0,0.5466666666666667,0.10525582111592632,0.9194078158538052,84.41666666666667
5,0.4,Классическая,1.0,0.005,0.009045340337332907,0.05000000000000001,5.75
5,0.4,С арбитром,0.0,0.2716666666666666,0.07107401178711634,0.7441557536894975,44.833333333333336
5,0.8,Классическая,1.0,0.01,0.015954480704349308,0.09999999999999999,6.5
5,0.8,С арбитром,0.0,0.4233333333333334,0.045792681696639005,0.8539973978359098,67.5
5,1.2,Классическая,1.0,0.024999999999999998,0.027136021011998725,0.17444444444444449,8.75
5,1.2,С арбитром,0.0,0.5633333333333334,0.07619751049778863,0.8843583861667516,88.58333333333333
7,0.4,Классическая,1.0,0.011666666666666667,0.0180067327475704,0.08333333333333331,8.75
7,0.4,С арбитром,0.0,0.2783333333333333,0.062352857094753786,0.7068718575696852,48.083333333333336
7,0.8,Классическая,1.0,0.019999999999999997,0.019069251784911846,0.14285714285714282,10.0
7,0.8,С арбитром,0.0,0.4833333333333332,0.06866696087021411,0.8379000167924905,78.91666666666667
7,1.2,Классическая,1.0,0.028333333333333332,0.028867513459481284,0.18650793650793648,11.25
7,1.2,С арбитром,0.0,0.5316666666666666,0.09398581453247791,0.8752254242863958,85.75
