time,transition,philosopher
0.025875924197217837,TakeLeft_2,2
0.04889527706717447,TakeLeft_5,5
0.04963805632205639,TakeLeft_4,4
0.29850213094424355,TakeRight_5,5
0.327246961001015,Release_5,5
0.4793399621945231,TakeLeft_1,1
0.5124310312295512,TakeLeft_3,3
0.5361167299004036,TakeRight_4,4
1.3306283158454992,Release_4,4
1.4005636626070632,TakeLeft_4,4
1.9491071343225288,TakeRight_4,4
3.1655997193578918,Release_4,4
3.2619735874878937,TakeRight_3,3
3.3930610200209372,TakeLeft_5,5
4.605005286170498,Release_3,3
5.166408429119985,TakeLeft_4,4
5.351854392246536,TakeRight_2,2
6.473912389463568,Release_2,2
7.076919736469699,TakeLeft_2,2
7.646811909513707,TakeRight_2,2
9.108706945278488,Release_2,2
9.845435967257378,TakeRight_1,1
9.859361332653181,Release_1,1
10.01129843329154,TakeLeft_1,1
10.054325304365598,TakeLeft_3,3
10.645707066494868,TakeRight_1,1
11.155093932863563,Release_1,1
11.347278626154639,TakeLeft_1,1
15.425853913558637,TakeRight_1,1
16.76555549055743,Release_1,1
17.318158115478518,TakeLeft_2,2
17.64622388845115,TakeRight_5,5
18.29404745636326,Release_5,5
18.948889145522635,TakeLeft_5,5
19.394419831333856,TakeRight_5,5
20.278651017255157,Release_5,5
20.29957236367283,TakeLeft_5,5
20.32512339997871,TakeRight_5,5
20.491269840206925,Release_5,5
20.64386139856843,TakeLeft_1,1
20.963643316211908,TakeRight_4,4
21.64028812197281,Release_4,4
21.662828292287195,TakeLeft_4,4
29.597775823468716,TakeRight_4,4
29.758328900252078,Release_4,4
30.04115221922425,TakeLeft_4,4
30.33023234517767,TakeRight_4,4
31.65248686572067,Release_4,4
31.689995463994453,TakeLeft_5,5
32.44603257260519,TakeRight_3,3
32.56123935091461,Release_3,3
33.06568889063358,TakeRight_2,2
33.0773926890362,TakeLeft_4,4
33.4902125037264,Release_2,2
33.51020039089516,TakeLeft_2,2
36.521078005390926,TakeRight_2,2
36.85102672599358,Release_2,2
36.86058943048836,TakeLeft_3,3
37.70356756428146,TakeRight_1,1
37.98494240549732,Release_1,1
38.33408821791239,TakeLeft_2,2
38.93144410746371,TakeRight_5,5
42.0131030181199,Release_5,5
42.1521590785901,TakeLeft_5,5
42.42605809029101,TakeRight_5,5
42.79711259365387,Release_5,5
42.91193023193076,TakeLeft_5,5
43.54409156303375,TakeRight_5,5
43.547766257789355,Release_5,5
44.18382006661015,TakeLeft_1,1
45.314925847014536,TakeRight_4,4
46.18412047054282,Release_4,4
46.67469407440918,TakeLeft_4,4
46.7258266583235,TakeRight_4,4
47.01357948665535,Release_4,4
47.240795590704586,TakeLeft_4,4
