time,S,I,R
0.0,990.0,10.0,0.0
0.2,-1.0045247618765781e-11,981.7051653725855,18.294834627424308
0.4,1.2312405295122236e-12,962.266100676586,37.73389932341249
0.6,-4.115600319403888e-12,943.2119552512596,56.788044748744255
0.8,-4.034445574799124e-12,924.5351071843552,75.46489281564845
1.0,3.1054953101335782e-12,906.2280854876165,93.77191451237981
1.2,-4.057332297990723e-12,888.2835671082897,111.71643289171381
1.4,-4.100048576650614e-12,870.6943739997379,129.3056260002657
1.6,-5.656567846794523e-13,853.4534702501954,146.54652974980462
1.8,-1.2084905877233472e-12,836.5539592682885,163.4460407317121
2.0,3.1314444113754354e-12,819.9890810242856,180.01091897571078
2.2,2.020887072406538e-13,803.7522093460332,196.2477906539663
2.4,-3.1554064333057352e-12,787.8368492683587,212.16315073164432
2.6,-9.798933318793062e-13,772.2366344350173,227.76336556498353
2.8,1.0794146727759412e-12,756.9453245520757,243.05467544792305
3.0,-3.1152959234993392e-12,741.9568028916999,258.0431971083029
3.2,1.4392250040099301e-12,727.2650738453613,272.73492615463675
3.4,-4.094017729144159e-12,712.8642605255682,287.1357394744355
3.6,-3.706894492825615e-12,698.7486024149628,301.25139758504054
3.8,-3.521282094940782e-12,684.9124530620958,315.0875469379073
4.0,4.777150012703368e-12,671.3502778227332,328.6497221772614
4.2,-3.0669857515445078e-12,658.0566516459726,341.9433483540299
4.4,-4.0531759750295576e-12,645.0262569040691,354.9737430959345
4.6,-3.866008130356533e-12,632.2538812653909,367.7461187346127
4.8,2.3696278536394144e-12,619.7344156093769,380.2655843906207
5.0,-2.6743789980088757e-12,607.4628519828536,392.5371480171492
5.2,4.101798312503089e-12,595.4342815967243,404.5657184032717
5.4,4.745640408064975e-12,583.6438928624694,416.35610713752607
5.6,3.4790131856066894e-12,572.0869694673838,427.91303053261294
5.8,-3.547668778893842e-12,560.7588884880186,439.241111511985
6.0,3.91747803023322e-12,549.655118540919,450.3448814590771
6.2,-3.2658380177004762e-12,538.7712179700833,461.2287820299201
6.4,-4.040802563580135e-12,528.1028330701413,471.897166929863
6.6,-3.928451415417148e-12,517.6456963448912,482.35430365511286
6.8,4.3377678111691697e-13,507.3956248002094,492.6043751997902
7.0,1.4071876714240052e-12,497.3485182708165,502.65148172918214
7.2,6.708025171917606e-14,487.50035778013614,512.4996422198639
7.4,-4.0348383476867176e-12,477.84720393266207,522.1527960673423
7.6,-3.5739047536263233e-12,468.3851953381376,531.6148046618663
7.8,-4.0192625783066556e-12,459.1105470669684,540.889452933036
8.0,-1.2390721474245297e-12,450.0195491361782,549.9804508638231
8.2,3.614656976831455e-12,441.1085650253813,558.8914349746151
8.4,-3.0310917067348374e-12,432.37403022213186,567.6259697778711
8.6,-1.5560490979610203e-12,423.81245079602724,576.1875492039744
8.8,2.88602443857777e-12,415.42040200114593,584.5795979988512
9.0,3.6080381622939724e-12,407.1945269060815,592.805473093915
9.2,1.088377599201828e-12,399.1315350511155,600.8684649488836
9.4,-3.7515642033763225e-12,391.22820113199685,608.7717988680072
9.6,1.4226308799017831e-12,383.4813637097667,616.5186362902322
9.8,-1.9857742903794654e-12,375.8879239461819,624.1120760538205
10.0,4.482967046425327e-12,368.44484436407157,631.5551556359243
10.2,-1.0551336247837856e-12,361.1491476323823,638.8508523676192
10.4,-3.266629008166943e-12,353.99791537512885,646.0020846248747
10.6,-3.173787729483071e-12,346.98828700405824,653.0117129959449
10.8,-6.354087261357081e-13,340.11745857435903,659.8825414256415
11.0,4.603977662991403e-12,333.3826816630469,666.6173183369485
11.2,-2.2083662483248054e-12,326.7812622695737,673.2187377304288
11.4,1.0435833132357628e-12,320.31055973813966,679.6894402618593
11.6,-2.989255224437345e-12,313.9679857014727,686.0320142985304
11.8,4.048181731349347e-12,307.75100304537085,692.2489969546251
12.0,2.3644049005022165e-12,301.65712489389733,698.3428751061003
12.2,-3.9965114866100136e-13,295.6839136145311,704.3160863854694
12.4,-5.431617890449255e-13,289.8289798431126,710.1710201568877
12.6,1.8691876806271093e-12,284.0899815280669,715.9100184719312
12.8,4.4600999707259735e-12,278.4646229935492,721.5353770064463
13.0,-1.692446139136541e-12,272.9506540211488,727.0493459788527
13.2,-1.7207067739591426e-12,267.5458689497413,732.4541310502602
13.4,1.996282256204306e-12,262.2481057932358,737.751894206762
13.6,-1.004649658904074e-12,257.05524537574223,742.9447546242585
13.8,-2.8036999910658862e-12,251.9652104838468,748.0347895161559
14.0,3.2573081115622976e-12,246.97596503571802,753.0240349642785
14.2,3.848301577974965e-12,242.08551326666574,757.9144867333302
14.4,1.6409366608632513e-12,237.2918989307728,762.7081010692254
14.6,1.2114769681116505e-12,232.59320451838457,767.4067954816142
14.8,2.7623368936793824e-12,227.98755048908572,772.0124495109114
15.0,4.451538271972523e-12,223.47309451985706,776.5269054801386
15.2,2.1523903411738756e-13,219.04803076812317,780.9519692318768
15.4,-3.811032931431756e-12,214.71058914937552,785.2894108506284
15.6,3.1075423798435998e-12,210.45903462912295,789.5409653708741
15.8,-1.9835540308605862e-12,206.29166652889182,793.7083334711103
16.0,1.8384140311343362e-12,202.20681784585554,797.7931821541429
16.2,-3.318934745609102e-12,198.20285458609342,801.7971454139101
16.4,3.973505808337328e-12,194.2781751108934,805.7218248891028
16.6,1.9242354557542838e-13,190.43120949615857,809.5687905038415
16.8,-3.655605287311746e-12,186.66041890433922,813.3395810956648
17.0,-2.9880766721286118e-12,182.96429496891602,817.0357050310873
17.2,-1.223142928404857e-12,179.34135919103574,820.658640808966
17.4,-4.139286985806049e-13,175.7901623480827,824.2098376519181
17.6,-9.939445183392972e-13,172.3092839139703,827.690716086031
17.8,-2.6301193231864813e-12,168.89733149091225,831.1026685090906
18.0,-3.7371883444239904e-12,165.5529402524444,834.4470597475596
18.2,-1.3104771251811839e-12,162.27477239747617,837.7252276025254
18.4,4.1826311412359065e-12,159.06151661515676,840.9384833848393
18.6,-6.791380882963679e-13,155.9118875603418,844.0881124396592
18.8,-2.703107107875601e-12,152.8246253394005,847.1753746606025
19.0,4.025126533014002e-12,149.79849500627623,850.20150499372
19.2,-3.679756078627847e-12,146.83228606850759,853.1677139314963
19.4,4.172826072728001e-12,143.92481200294193,856.0751879970542
19.6,-3.190316363043133e-12,141.0749097812143,858.9250902187891
19.8,8.792821052625649e-13,138.28143940441336,861.718560595586
20.0,2.3830643484403916e-12,135.54328344715262,864.4567165528453
20.2,-3.3492975563209754e-12,132.8593466105454,867.1406533894582
20.4,-1.7837380158411262e-12,130.22855528405825,869.7714447159437
20.6,2.756691695896261e-12,127.64985711608514,872.3501428839123
20.8,4.032861317583106e-12,125.12222059298199,874.8777794070143
21.0,1.876517037331046e-12,122.6446346264378,877.3553653735605
21.2,1.0785956833379525e-13,120.21610814902728,879.7838918509729
21.4,-6.608941327838842e-13,117.8356697177784,882.1643302822224
21.6,-5.120528937658759e-13,115.50236712557916,884.4976328744215
21.8,5.500751107891547e-13,113.21526702028166,886.7847329797179
22.0,2.480638075569174e-12,110.97345453134886,889.0265454686487
22.2,4.096068254544091e-12,108.77603290389445,891.2239670961014
22.4,1.936823409429124e-12,106.62212313997179,893.3778768600263
22.6,-2.2188666220245674e-12,104.51086364695284,895.4891363530494
22.8,-3.0926675595650632e-12,102.44140989288526,897.5585901071178
23.0,1.983793463301807e-12,100.41293406867653,899.5870659313215
23.2,1.954907737153548e-12,98.42462475695687,901.5753752430412
23.4,-3.4255813985562896e-12,96.47568660748637,903.524313392517
23.6,2.0732243346994088e-12,94.56534001901277,905.4346599809852
23.8,-3.706794883169042e-13,92.6928208274421,907.3071791725582
24.0,-1.5259911178417406e-12,90.85738000011642,909.1426199998851
24.2,1.9091374617524253e-12,89.0582833362434,910.9417166637547
24.4,-2.226522941929412e-12,87.29481117316092,912.7051888268413
24.6,1.5172249036519926e-12,85.56625809849854,914.4337419015
24.8,-8.406003140972216e-13,83.87193266796794,916.128067332033
25.0,-1.3273947595802049e-12,82.21115712882055,917.7888428711809
25.2,3.0987861190361394e-12,80.58326714867907,919.416732851318
25.4,-3.144513407953385e-12,78.98761154985814,921.0123884501451
25.6,4.851633970643195e-13,77.42355204884521,922.5764479511544
25.8,2.933890373163226e-12,75.89046300097056,924.1095369990265
26.0,-2.4369505498049206e-12,74.38773115018257,925.6122688498199
26.2,-2.276727442179331e-12,72.91475538371482,927.0852446162875
26.4,2.1612716048478655e-12,71.47094649160529,928.5290535083926
26.6,3.151260264759607e-12,70.05572693104618,929.9442730689508
26.8,-4.416786795962014e-13,68.66853059534526,931.3314694046553
27.0,-2.8202404806540727e-12,67.30880258747955,932.6911974125234
27.2,-2.9529643592888607e-12,65.97599899811836,934.0240010018847
27.4,-1.6282633498424795e-12,64.66958668804918,935.3304133119526
27.6,9.751699097985435e-14,63.38904307492535,936.6109569250748
27.8,1.5302025885664155e-12,62.133855924227355,937.8661440757713
28.0,2.431695973117748e-12,60.903523144360214,939.0964768556377
28.2,2.8615943802188725e-12,59.697552585808616,940.3024474141888
28.4,2.9610511081594215e-12,58.51546184426999,941.4845381557274
28.6,2.7963985469618937e-12,57.35677806768653,942.6432219323109
28.8,2.315335978035422e-12,56.22103776709817,943.7789622328996
29.0,1.416018455259777e-12,55.10778663124029,944.8922133687585
29.2,8.900770313231654e-14,54.0165793448123,945.9834206551877
29.4,-1.4364692279374213e-12,52.946979410346096,947.0530205896556
29.6,-2.627452590081023e-12,51.8985589736044,948.1014410263984
29.8,-2.7546736931805765e-12,50.870898652439784,949.1291013475632
30.0,-1.2589369692450589e-12,49.863587369040076,950.1364126309614
30.2,1.5519308000038214e-12,48.87622218547623,951.1237778145224
30.4,3.1967491911258202e-12,47.908408142467835,952.0915918575292
30.6,4.869595753870695e-13,46.95975810149248,953.0402418985072
30.8,-2.449690312965518e-12,46.029892589845986,953.9701074101566
31.0,-1.8679356448719283e-12,45.118439648981315,954.8815603510208
31.2,2.0004747929537825e-12,44.22503468566131,955.7749653143369
31.4,1.8509558798571925e-12,43.349320325858955,956.6506796741394
31.6,-2.2104585870427358e-12,42.490946272099286,957.509053727903
31.8,-1.2900546137672792e-12,41.6495691634068,958.3504308365947
32.0,3.0099615348950797e-12,40.824852437864465,959.1751475621327
32.2,-7.924537060134148e-13,40.01646619753296,959.983533802468
32.4,-2.0422664104377255e-12,39.22408707712025,960.7759129228818
32.6,2.744644585274977e-12,38.44739811479245,961.5526018852049
32.8,-9.414846666690476e-13,37.68608862420295,962.313911375798
33.0,-1.4414270227287952e-12,36.93985407141583,963.0601459285857
33.2,2.7141710369389855e-12,36.20839595312466,963.7916040468727
33.4,-2.2106050319918548e-12,35.49142167568776,964.5085783243145
33.6,1.007661760080771e-12,34.788644440314016,965.211355559685
33.8,-1.7694250700996577e-14,34.09978312663117,965.9002168733689
34.0,-1.3471645952744855e-12,33.42456218051149,966.5754378194899
34.2,2.0105289295455934e-12,32.762711505483615,967.2372884945145
34.4,-2.19445155535712e-12,32.113966351281256,967.886033648721
34.6,2.617914986055646e-12,31.478067212439438,968.521932787558
34.8,-2.1717096487885783e-12,30.854759719616702,969.1452402803855
35.0,2.3555442015782383e-12,30.243794542632394,969.7562054573654
35.2,-1.9897528804578198e-12,29.644927286185563,970.3550727138165
35.4,2.1654784514541553e-12,29.057918396456557,970.9420816035413
35.6,-1.936170514990621e-12,28.482533060940995,971.517466939061
35.8,2.2710472858160394e-12,27.918541119076796,972.081458880921
36.0,-1.9335192825126292e-12,27.36571696510925,972.6342830348927
36.2,2.1967616551890213e-12,26.823839463793238,973.1761605362046
36.4,-1.6556248688668568e-12,26.292691854700777,973.707308145301
36.6,1.3451000103828595e-12,25.772061674407837,974.2279383255909
36.8,-7.37823003757064e-13,25.261740660805586,974.7382593391952
37.0,-1.3954575620445667e-13,24.761524681857875,975.2384753181424
37.2,7.465301522353487e-13,24.271213641887478,975.7287863581118
37.4,-1.219495241322625e-12,23.79061141111778,976.2093885888836
37.6,1.6476776234167355e-12,23.319525742905313,976.6804742570931
37.8,-8.832471762880252e-13,22.857768194215176,977.1422318057857
38.0,2.8916291112210513e-13,22.405154059903587,977.5948459400962
38.2,4.626113270085147e-13,21.96150228412163,978.038497715878
38.4,-6.824604313711706e-13,21.526635402508308,978.4733645974924
38.6,9.032729787111197e-13,21.100379463140605,978.8996205368586
38.8,-1.6002038917868246e-13,20.68256395467383,979.3174360453264
39.0,-1.0996953943685658e-13,20.273021750065165,979.726978249935
39.2,4.73146958390353e-13,19.871589023429706,980.1284109765699
39.4,-1.5916341694139325e-13,19.478105195995415,980.5218948040048
39.6,1.1744001803447207e-13,19.092412873128893,980.907587126871
39.8,1.4090929310390711e-13,18.714357767688014,981.2856422323118
40.0,-5.3117020029853525e-14,18.34378865529673,981.6562113447034
40.2,9.485265302375698e-14,17.9805573045147,982.0194426954853
40.4,3.414088091402271e-14,17.62451841390087,982.3754815860991
40.6,-6.341267331500777e-15,17.275529567515207,982.7244704324848
40.8,3.5999039283850336e-14,16.933451163401404,983.0665488365986
41.0,7.856215865564597e-15,16.59814636343135,983.4018536365687
41.2,1.7108218920264227e-15,16.269481045920582,983.7305189540795
41.4,8.509920930662252e-15,15.947323736844254,984.0526762631558
41.6,1.8079823856655507e-15,15.631545568243777,984.3684544317563
41.8,1.022103009211203e-15,15.322020229123547,984.6779797708765
42.0,1.5183249073072678e-15,15.018623900829239,984.9813760991708
42.2,3.901228529421062e-16,14.721235221339654,985.2787647786604
42.4,2.773164007276739e-16,14.429735234807747,985.5702647651923
42.6,2.383276911221828e-16,14.144007332808645,985.8559926671915
42.8,7.494493287271584e-17,13.863937222148058,986.136062777852
43.0,5.44130526116973e-17,13.589412873234872,986.4105871267652
43.2,3.467438925227107e-17,13.320324468558896,986.6796755314411
43.4,1.2920515651314519e-17,13.056564371831831,986.9434356281682
43.6,8.975002575413891e-18,12.798027076274415,987.2019729237256
