beta,gamma,peak_I,peak_time,final_R,initial_growth
0.1,0.05,995.7045739381556,0.12213059509626281,993.2465099611532,98.95
0.3,0.05,998.3850892646068,0.04433932772698414,993.2568782896632,296.95
0.5,0.05,998.9799709963881,0.027620428748603133,993.258948929433,494.95
0.8,0.05,999.333106645914,0.017848389915870275,993.260113221665,791.95
0.1,0.1,992.1022950568702,0.11531963331549708,999.9543902306359,98.9
0.3,0.1,997.0012275893995,0.04204631249186512,999.9545302939292,296.9
0.5,0.1,998.0985714288875,0.026241193710429843,999.9545582248224,494.9
0.8,0.1,998.752856689398,0.016985007940271142,999.9545739240043,791.9
0.1,0.2,985.59088447486,0.10858919766844072,999.9999979197236,98.8
0.3,0.2,994.4645532991749,0.03976545670206333,999.9999979325041,296.8
0.5,0.2,996.4744017299972,0.02486695911030854,999.9999979350449,494.8
0.8,0.2,997.6790001739367,0.01612382177497884,999.999997936471,791.8
