initial_I,replicate,peak_I,peak_time,final_R
5,1,997.0,0.04014729999506882,1000.0
5,2,997.0,0.04307404470802668,1000.0
5,3,998.0,0.03598282909586013,1000.0
5,4,996.0,0.042816120139370535,999.0
5,5,999.0,0.03873881690637298,1000.0
5,6,995.0,0.04078622616027134,1000.0
5,7,1000.0,0.04145698383800961,1000.0
5,8,996.0,0.043875615667774405,1000.0
5,9,997.0,0.041063497120612635,999.0
5,10,993.0,0.04633583605947005,1000.0
5,11,995.0,0.04486364533172865,1000.0
5,12,998.0,0.04011724546378965,1000.0
10,1,999.0,0.034158896704267895,1000.0
10,2,996.0,0.03091807409511804,1000.0
10,3,996.0,0.03655571293961822,1000.0
10,4,997.0,0.03474004628208424,1000.0
10,5,998.0,0.03673314548087748,1000.0
10,6,997.0,0.04114536783225074,1000.0
10,7,996.0,0.048436148853016364,1000.0
10,8,997.0,0.032463261611340166,1000.0
10,9,1000.0,0.04376906334623352,1000.0
10,10,1000.0,0.0335510213601997,1000.0
10,11,999.0,0.039033188206378,1000.0
10,12,999.0,0.04239524826294775,1000.0
25,1,994.0,0.03391674450435802,1000.0
25,2,997.0,0.036564071287550674,1000.0
25,3,998.0,0.029127413583329806,1000.0
25,4,1000.0,0.03906013017045282,1000.0
25,5,998.0,0.03362212552728918,1000.0
25,6,994.0,0.03555705430463593,999.0
25,7,1000.0,0.039045290728526805,1000.0
25,8,997.0,0.0414184822582523,1000.0
25,9,996.0,0.031548494814795255,1000.0
25,10,996.0,0.033592253374173854,1000.0
25,11,996.0,0.035001740002925615,1000.0
25,12,993.0,0.030364229924895295,1000.0
