time,S,I,R
0.0,990.0,10.0,0.0
0.5,-3.1890726119200957e-12,952.6913929973186,47.30860700268431
1.0,3.1054953101335782e-12,906.2280854876165,93.77191451237981
1.5,4.001458715639162e-12,862.0308202247684,137.96917977522713
2.0,3.1314444113754354e-12,819.9890810242856,180.01091897571078
2.5,3.911511875246429e-12,779.9977416395999,220.00225836039604
3.0,-3.1152959234993392e-12,741.9568028916999,258.0431971083029
3.5,-3.766755500273815e-12,705.7711426190621,294.22885738094124
4.0,4.777150012703368e-12,671.3502778227332,328.6497221772614
4.5,4.7692707863595106e-12,638.6081384117131,361.39186158828187
5.0,-2.6743789980088757e-12,607.4628519828536,392.5371480171492
5.5,4.672616926569265e-12,577.8365390972051,422.16346090279035
6.0,3.91747803023322e-12,549.655118540919,450.3448814590771
6.5,4.736620081474324e-12,522.8481220835492,477.1518779164462
7.0,1.4071876714240052e-12,497.3485182708165,502.65148172918214
7.5,-3.814148120961048e-12,473.0925448110367,526.9074551889674
8.0,-1.2390721474245297e-12,450.0195491361782,549.9804508638231
8.5,4.345021032239769e-12,428.07183673887215,571.9281632611235
9.0,3.6080381622939724e-12,407.1945269060815,592.805473093915
9.5,3.216974904565727e-12,387.3354154887127,612.6645845112844
10.0,4.482967046425327e-12,368.44484436407157,631.5551556359243
10.5,-3.4144715742980425e-12,350.47557726469853,649.524422735305
11.0,4.603977662991403e-12,333.3826816630469,666.6173183369485
11.5,3.842131862758355e-12,317.1234164168453,682.8765835831508
12.0,2.3644049005022165e-12,301.65712489389733,698.3428751061003
12.5,-8.853026937779281e-13,286.94513330936496,713.0548666906358
13.0,-1.692446139136541e-12,272.9506540211488,727.0493459788527
13.5,3.9746882363387985e-12,259.63869354162534,740.3613064583706
14.0,3.2573081115622976e-12,246.97596503571802,753.0240349642785
14.5,1.1686207112689983e-12,234.93080508643644,765.0691949135623
15.0,4.451538271972523e-12,223.47309451985706,776.5269054801386
15.5,-1.541391436259253e-12,212.57418309152294,787.4258169084789
16.0,1.8384140311343362e-12,202.20681784585554,797.7931821541429
16.5,-3.2311639538429087e-12,192.34507496963872,807.6549250303647
17.0,-2.9880766721286118e-12,182.96429496891602,817.0357050310873
17.5,-1.969821959400557e-14,174.04102100745789,825.9589789925425
18.0,-3.7371883444239904e-12,165.5529402524444,834.4470597475596
18.5,-3.028548054620283e-12,157.47882808073314,842.5211719192702
19.0,4.025126533014002e-12,149.79849500627623,850.20150499372
19.5,9.329007448798599e-13,142.4927361958957,857.5072638041036
20.0,2.3830643484403916e-12,135.54328344715262,864.4567165528453
20.5,5.827804729084696e-13,128.93275950837412,871.0672404916255
21.0,1.876517037331046e-12,122.6446346264378,877.3553653735605
21.5,-6.970252572948546e-13,116.66318521380833,883.3368147861926
22.0,2.480638075569174e-12,110.97345453134886,889.0265454686487
22.5,-1.9252959169161492e-13,105.56121528871425,894.438784711286
