beta,gamma,grid_peak,refined_peak,peak_time,analytical_peak,final_recovered
0.1,0.1,955.6260302185613,992.1022950568702,0.11531963331549708,992.1022950568714,999.9543902306359
0.15,0.1,954.1569242253643,994.4645532991746,0.07953091340412233,994.4645532991755,999.9544603475894
0.2,0.1,953.4237125190718,995.7045739381533,0.061065297548134015,995.7045739381557,999.9544953420478
0.25,0.1,952.9842138401151,996.4744017299985,0.049733918220619525,996.4744017299989,999.9545163182822
0.3,0.1,952.6913929973186,997.0012275893995,0.04204631249186512,997.0012275894011,999.9545302939292
0.35,0.1,952.4823225085166,997.385580596677,0.03647607495566185,997.3855805966788,999.9545402723686
0.4,0.1,952.3255673359613,997.679000173938,0.0322476435499572,997.6790001739379,999.9545477539241
0.45,0.1,952.2036748987579,997.910715035576,0.028924354289619016,997.9107150355767,999.9545535715607
0.5,0.1,952.1061787429661,998.0985714288875,0.026241193710429843,998.0985714288875,999.9545582248224
0.55,0.1,952.0264209228616,998.2540994481155,0.024027821415893096,998.2540994481151,999.9545620314732
0.6,0.1,951.9599641575716,998.3850892646055,0.0221696638634925,998.3850892646072,999.9545652032987
0.65,0.1,951.9037372498152,998.4969989046086,0.02058676491120849,998.4969989046107,999.9545678868757
0.7,0.1,951.8555469446042,998.5937692725449,0.019221597400410927,998.5937692725452,999.9545701868811
0.75,0.1,951.813785139482,998.678318938177,0.01803169378711518,998.6783189381772,999.9545721800781
0.8,0.1,951.7772459409441,998.752856689398,0.016985007940271142,998.752856689399,999.9545739240043
