t,mean_I,sd_I
0.0,10.0,0.0
0.25,10.4,1.3544307876819286
0.5,11.466666666666667,1.9070347687431928
0.75,12.233333333333333,2.2388934048232216
1.0,13.3,2.5209467296619152
1.25,14.7,3.797912312183429
1.5,15.733333333333333,4.961460667386469
1.75,16.0,5.265371585276245
2.0,16.966666666666665,5.455040904005011
2.25,18.3,6.422750511885935
2.5,18.933333333333334,6.9278714118299405
2.75,19.766666666666666,7.605276450271711
3.0,20.766666666666666,8.826618571247929
3.25,23.0,9.623964341952458
3.5,24.733333333333334,10.644517233131655
3.75,26.133333333333333,11.088152525862078
4.0,28.2,12.223211384563557
4.25,29.2,12.633835249180995
4.5,30.8,13.102776752302912
4.75,32.43333333333333,13.920174724758885
5.0,34.2,15.78388527843378
5.25,35.93333333333333,16.397925296298567
5.5,37.9,17.00983488334383
5.75,40.8,19.063234157711122
6.0,43.03333333333333,19.35776300365688
6.25,45.666666666666664,20.93558813539072
6.5,48.233333333333334,22.63455297782015
6.75,50.233333333333334,23.258195935216467
7.0,52.666666666666664,25.02045140491568
7.25,54.93333333333333,25.674263691330154
7.5,56.53333333333333,26.04602469281734
7.75,58.5,26.089699381041235
8.0,60.4,27.8909205347522
8.25,63.333333333333336,28.939095776610163
8.5,66.13333333333334,30.596070666506918
8.75,69.16666666666667,32.72780462240477
9.0,72.36666666666666,33.36370455463834
9.25,75.26666666666667,35.372825468277135
9.5,79.5,36.268871425545605
9.75,82.66666666666667,37.6978306641325
10.0,86.46666666666667,38.44542332596487
10.25,89.23333333333333,38.491990508849156
10.5,91.76666666666667,39.22321913790644
10.75,94.43333333333334,38.83713414382873
11.0,97.0,38.55761474952015
11.25,99.2,38.63837649191584
11.5,103.63333333333334,38.350006369044415
11.75,106.9,37.904917340903005
12.0,110.33333333333333,37.94763482097069
12.25,113.26666666666667,37.59212438918495
12.5,118.1,37.937653027584346
12.75,121.33333333333333,38.548074180022354
13.0,125.1,38.07737132335361
13.25,128.73333333333332,38.15298906655471
13.5,130.63333333333333,36.79438050547405
13.75,133.03333333333333,34.5657627432549
14.0,135.06666666666666,33.87597392246314
14.25,137.7,34.26685339186122
14.5,139.9,34.022659791826165
14.75,142.33333333333334,32.53574515273437
15.0,143.63333333333333,32.55921219640572
15.25,145.8,31.38569847821643
15.5,146.63333333333333,28.119797092186623
15.75,149.13333333333333,27.139147616189668
16.0,149.6,26.16604801962874
16.25,151.33333333333334,25.521232990067965
16.5,151.2,24.24501370705268
16.75,152.53333333333333,21.729898889482353
17.0,153.36666666666667,20.65560512278703
17.25,153.3,20.118870880773635
17.5,153.73333333333332,20.39765593925174
17.75,154.26666666666668,20.576071360774343
18.0,154.76666666666668,20.91968769684035
18.25,153.63333333333333,21.49977278682399
18.5,153.66666666666666,21.676832274833526
18.75,153.23333333333332,21.09695734449407
19.0,152.4,22.509155225496965
19.25,152.93333333333334,23.710805529348317
19.5,150.63333333333333,23.04041925704109
19.75,149.86666666666667,25.073317777426585
20.0,148.8,25.197701044560286
20.25,147.93333333333334,25.2203165685146
20.5,145.8,24.77122913994072
20.75,144.23333333333332,26.002232441735135
21.0,141.76666666666668,27.127646329939846
21.25,140.33333333333334,27.243896289948527
21.5,137.43333333333334,27.550184095177315
21.75,134.53333333333333,27.667649892513687
22.0,132.56666666666666,29.30185745946343
22.25,130.8,29.40842009380635
22.5,130.33333333333334,29.22249173134464
22.75,127.96666666666667,29.392097616516768
23.0,125.4,30.01677691811238
23.25,122.9,29.02715731980942
23.5,121.26666666666667,27.764941095255153
23.75,118.06666666666666,28.03437955050208
24.0,115.46666666666667,28.029213003742996
24.25,113.16666666666667,26.963683537029162
24.5,109.7,26.79442813926703
24.75,106.7,25.385510393353027
25.0,104.73333333333333,25.10108300086058
25.25,102.26666666666667,26.087298182003853
25.5,98.73333333333333,24.7872789027416
25.75,96.1,24.635760383133547
26.0,93.56666666666666,24.904899577964688
26.25,91.23333333333333,24.084167547099934
26.5,88.6,24.23960850941399
26.75,86.3,23.860441941740568
27.0,83.73333333333333,23.40193527708005
27.25,81.8,24.17950114998382
27.5,79.33333333333333,24.515066912964492
27.75,77.53333333333333,23.704696658640476
28.0,75.06666666666666,22.99465205191211
28.25,72.86666666666666,22.72585241120984
28.5,71.8,22.56698840158432
28.75,69.06666666666666,21.305549436276202
29.0,66.96666666666667,20.617172844305156
29.25,64.2,18.967122189144327
29.5,62.266666666666666,18.898883990647544
29.75,61.46666666666667,19.64290401546878
30.0,59.96666666666667,19.329240549744448
30.25,58.4,18.757251471327578
30.5,56.5,18.72256613711434
30.75,54.1,17.881506532226776
31.0,52.6,17.835648147112185
31.25,51.13333333333333,17.787506916340206
31.5,49.5,18.011011957248208
31.75,47.766666666666666,17.395368653026953
32.0,46.06666666666667,16.802982767504627
32.25,44.733333333333334,16.381093671823546
32.5,43.2,15.441547179941034
32.75,42.06666666666667,15.61814447306751
33.0,40.666666666666664,15.279766502398395
33.25,39.266666666666666,14.959562351456892
33.5,37.86666666666667,14.124406202552821
33.75,37.03333333333333,13.852631601932199
34.0,35.53333333333333,13.773370942744437
34.25,34.6,14.094753242448668
34.5,33.2,13.588534720935478
34.75,32.166666666666664,13.539427312631172
35.0,31.666666666666668,13.204840631069882
35.25,30.566666666666666,12.574422132011593
35.5,29.3,12.182944550929978
35.75,28.533333333333335,11.799279151954458
36.0,27.5,11.56615156691998
36.25,27.0,11.516105663598802
36.5,26.066666666666666,11.21247252972711
36.75,25.1,11.244462238563601
37.0,24.4,10.58821726390171
37.25,23.966666666666665,10.649537251832163
37.5,22.833333333333332,10.885242567215785
37.75,21.566666666666666,10.85542398458289
38.0,20.8,10.219656516260457
38.25,20.0,9.82607368881035
38.5,19.2,9.459168148889495
38.75,18.8,9.256498183475736
39.0,18.133333333333333,8.954803501312936
39.25,17.166666666666668,8.948447499073689
39.5,16.8,8.976597927100645
39.75,15.766666666666667,8.724453676536026
40.0,14.633333333333333,7.958874176723713
40.25,13.6,7.180433182591087
40.5,13.133333333333333,7.314290845646804
40.75,12.666666666666666,7.140623624525132
41.0,12.133333333333333,7.079515536382773
41.25,11.966666666666667,7.453225792409867
41.5,11.566666666666666,7.449523628988003
41.75,11.133333333333333,7.5782507914076875
42.0,11.033333333333333,7.462473165588366
42.25,10.8,7.136115044688845
42.5,10.5,6.986440068274129
42.75,10.3,6.923971353951778
43.0,9.9,6.6402638086356065
43.25,9.4,6.267595920342157
43.5,9.166666666666666,6.215017037917852
43.75,8.566666666666666,6.089467069900477
44.0,8.133333333333333,5.5256975426938935
44.25,8.066666666666666,5.582814352273772
44.5,7.866666666666666,5.513202544696737
44.75,7.566666666666666,5.399127217675434
45.0,7.233333333333333,5.190730021964111
45.25,6.933333333333334,4.989183703070925
45.5,6.666666666666667,4.894284726955078
45.75,6.4,4.724112761070628
46.0,6.233333333333333,4.5764263526161475
46.25,6.1,4.558811097280699
46.5,6.133333333333334,4.904138529104136
46.75,5.766666666666667,4.882645787383872
47.0,5.666666666666667,4.641145320398562
47.25,5.4,4.438079733864404
47.5,5.333333333333333,4.325811331780539
47.75,5.166666666666667,4.283757079088831
48.0,4.633333333333334,3.9346676092654005
48.25,4.433333333333334,3.8567749018679014
48.5,4.333333333333333,3.871499160160885
48.75,4.066666666666666,3.7777327020073947
49.0,4.033333333333333,3.6811105270887596
49.25,3.8666666666666667,3.5402448126271335
49.5,3.8666666666666667,3.501067160790809
49.75,3.8666666666666667,3.540244812627134
50.0,3.6,3.244092774726778
50.25,3.533333333333333,3.319049857116188
50.5,3.3,3.1420397504015516
50.75,3.1666666666666665,2.972092416687835
51.0,2.966666666666667,2.8221211554594805
51.25,2.8333333333333335,2.889736097404688
51.5,2.7666666666666666,2.884959012836599
51.75,2.6,2.685850536319599
52.0,2.6,2.672981029900305
52.25,2.566666666666667,2.6087826905353353
52.5,2.533333333333333,2.60944350433169
52.75,2.433333333333333,2.5553639774934735
53.0,2.5,2.7133132818598815
53.25,2.4,2.6600492606276145
53.5,2.3,2.5750795099877246
53.75,2.2333333333333334,2.528231402183848
54.0,2.2,2.3838537330737504
54.25,2.1,2.3245318401480475
54.5,2.066666666666667,2.3034207445529318
54.75,1.8,2.107458021016036
55.0,1.7,1.9324809853193095
55.25,1.6333333333333333,1.9025089303036282
55.5,1.6,1.734040527705203
