t,S,I,R
0.0,990.0,10.0,0.0
0.25,988.7233163342495,10.63212302984128,0.6445606359091478
0.5,987.3678478138428,11.302343172629103,1.3298090135275646
0.75,985.9290974985432,12.01271258048795,2.0581899209682155
1.0,984.4023592721826,12.765361864530783,2.832278863285894
1.25,982.7827144104532,13.562498664298792,3.6547869252469325
1.5,981.0650290392717,14.40640543980453,4.5285655209227444
1.75,979.2439526407575,15.299436380968634,5.456610978272965
2.0,977.313917778441,16.24401332149289,6.442068900065078
2.25,975.2691412280153,17.242620536800164,7.488238235183605
2.5,973.1036267145229,18.297798298834774,8.59857498664148
2.75,970.8111694709929,19.41213505454249,9.776695474463855
3.0,968.3853628467898,20.588258090075055,11.026379063134337
3.25,965.8196072058568,21.828822539579917,12.351570254562516
3.5,963.107121365048,23.13649859628844,13.756380038662865
3.75,960.2409568302245,24.513956785004062,15.245086384770781
4.0,957.2140150919914,25.96385115957007,16.822133748437825
4.25,954.0190682430795,27.488800297063786,18.49213145985632
4.5,950.6487831745271,29.091365972958876,20.259850852513768
4.75,947.0957495970562,30.77402941898225,22.130220983961404
5.0,943.3525121163319,32.53916508853705,24.10832279513118
5.25,939.4116065651572,34.38901188401721,26.199381550825866
5.5,935.2656007610434,36.32564183670569,28.40875740225125
5.75,930.9071398130532,38.350926273740654,30.741933913206477
6.0,926.3289960464892,40.466499558236094,33.204504395274924
6.25,921.5241235471836,42.6737205482571,35.80215590455953
6.5,916.485717248379,44.97363198793758,38.540650763683594
6.75,911.2072763923235,47.366918119254926,41.425805488421844
7.0,905.6826720959614,49.853860885147256,44.46346701889156
7.25,899.9062186362135,52.43429518266059,47.65948618112618
7.5,893.8727479465547,55.10756371705898,51.01968833638622
7.75,887.5776866848345,57.87247210222442,54.54984121294112
8.0,881.0171350950886,60.72724494657804,58.255619958333334
8.25,874.1879467468148,63.66948375399889,62.14256949918627
8.5,867.0878080977743,66.69612755212663,66.21606435009906
8.75,859.7153166956077,69.80341723189225,70.48126607250005
9.0,852.0700567146637,72.98686463768452,74.9430786476516
9.25,844.1526704232142,76.24122748260912,79.60610209417649
9.5,835.9649240986828,79.56049117323514,84.47458472808196
9.75,827.5097668606966,82.93785860871542,89.55237453058763
10.0,818.791380879433,86.36574896641538,94.84287015415119
10.25,809.8152214450201,89.8358063972203,100.34897215775908
10.5,800.5880454568362,93.33891942668426,106.07303511647918
10.75,791.1179270122252,96.86525169271398,112.01682129506052
11.0,781.4142589435648,100.40428444779778,118.1814566086372
11.25,771.4877393699046,103.94487101698486,124.56738961311059
11.5,761.3503425915254,107.47530313691486,131.17435427155982
11.75,751.0152739574103,110.98338881313494,138.00133722945463
12.0,740.4969086691794,114.4565410314263,145.04655029939386
12.25,729.8107148408726,117.88187635408741,152.30740880503984
12.5,718.9731615006287,121.24632213536374,159.7805163640074
12.75,708.001612585127,124.53673081330766,167.46165660156518
13.0,696.914208327196,127.7399994900763,175.34579218272742
13.25,685.729735757894,130.84319281011926,183.42707143198632
13.5,674.4674903238771,133.83366699558522,191.69884268053772
13.75,663.1471308477327,136.69919280834466,200.15367634392283
14.0,651.788530223968,139.42807518355372,208.78339459247883
14.25,640.4116243398622,142.00926732308616,217.57910833705216
14.5,629.036261734885,144.4324771478029,226.5312611173126
14.75,617.6820564643763,146.68826418180635,235.62967935381798
15.0,606.3682465155284,148.76812517297333,244.8636283114988
15.25,595.1135599421614,150.66456703308916,254.22187302474987
15.5,583.9360906477501,152.37116599676867,263.69274335548164
15.75,572.8531854641466,153.88261223862952,273.264202297224
16.0,561.8813438583537,155.19473953983882,282.92391660180743
16.25,551.0361312642594,156.3045399451722,292.6593287905685
16.5,540.3321066931935,157.21016368784964,302.457729618957
16.75,529.782764938706,157.9109049706632,312.30633009063087
17.0,519.4004933681305,158.4071744691007,322.1923321627687
17.25,509.196542995777,158.7004596581838,332.10299734603905
17.5,499.18101326755607,158.79327425473147,342.02571247771243
17.75,489.3628497600198,158.6890982081749,351.9480520318052
18.0,479.74985381163424,158.39230976550678,361.857836422859
18.25,470.3487029620173,157.90811118102675,371.74318585695573
18.5,461.1649809755056,157.24244964250866,381.5925693819856
18.75,452.2032161667876,156.4019349468174,391.39484888639447
19.0,443.4669267252797,155.39375538537143,401.1393178893485
19.25,434.95867174724475,154.22559319924653,410.8157350535081
19.5,426.680106725638,152.90554084148752,420.414352432874
19.75,418.6320423121757,151.4420191465518,429.925938541272
20.0,410.81450524908246,149.84369835968525,439.34179639123187
20.25,403.2268004643416,148.1194228278138,448.6537767078441
20.5,395.86757342947755,146.27814000296326,457.8542865675586
20.75,388.7348719887156,144.3288342632973,466.93629374798644
21.0,381.82620697921493,142.28046591881633,475.8933271019683
21.25,375.1386110708726,140.14191564106108,484.719473288066
21.5,368.6686953585346,137.92193444055263,493.4093702009126
21.75,362.41270333741755,135.6290992132648,501.95819744931754
22.0,356.3665619828124,133.27177378867577,510.36166422851187
22.25,350.52592973681686,130.85807533690172,518.6159949262812
22.5,344.8862412774711,128.3958459306888,526.7179127918397
22.75,339.4427490091176,125.8926290089554,534.6646219819266
23.0,334.19056126724564,123.35565045119586,542.4537882815584
23.25,329.12467727686703,120.79180394532584,550.0835187778074
23.5,324.2400189411558,118.20764031428817,557.5523407445563
23.75,319.5314595673008,115.60936045776147,564.8591799749378
24.0,314.99384965997655,113.00281156342267,572.0033387766006
24.25,310.6220399302972,110.39348624626487,578.9844738234381
24.5,306.41090168028296,107.78652428338162,585.8025740363354
24.75,302.35534473051246,105.18671662440248,592.4579386450852
25.0,298.45033306239947,102.5985113735001,598.9511555641004
25.25,294.6908983470919,100.02602145679015,605.2830801961181
25.5,291.07215153091136,97.47303370831064,611.4548147607784
25.75,287.5892926430626,94.94301912800057,617.4676882289373
26.0,284.23761898551834,92.43914408569543,623.3232369287865
26.25,281.01253185791444,89.96428226569996,629.0231858763858
26.5,277.9095419623521,87.52102716665375,634.5694308709944
26.75,274.92427362446483,85.11170499090366,639.9640213846319
27.0,272.0524679582397,82.73838777624196,645.209144265519
27.25,269.289985093088,80.40290664050619,650.3071082664064
27.5,266.6328055726883,78.1068650260732,655.2603294012395
27.75,264.0770310263372,75.85165184664837,660.0713171270153
28.0,261.6188842050146,73.63845445292745,664.742661342059
28.25,259.25470846619146,71.46827134668723,669.2770201871223
28.5,256.98096678363606,69.34192458466548,673.6771086316993
28.75,254.79424035113576,67.26007182425172,677.9456878246132
29.0,252.69122684217908,65.22321797257962,682.085555185242
29.25,250.66873838123635,63.231726409144265,686.09953520962
29.5,248.723699276347,61.28582975962607,689.9904709640275
29.75,246.8531435572506,59.38564020525548,693.7612162374943
30.0,245.0542123582814,57.531159317864144,697.4146283238547
30.25,243.3241511806563,55.72228741581088,700.9535614035331
30.5,241.66030706461274,53.95883244030803,704.3808604950798
30.75,240.06012569806367,52.240518355372366,707.6993559465643
31.0,238.52114848501242,50.566993077747775,710.91185843724
31.25,237.04100959388714,48.93783594574969,714.0211544603633
31.5,235.61743300318153,47.35256473812481,717.0300022586941
31.75,234.2482295593105,45.810642255749585,719.9411281849401
32.0,232.9312940593731,44.31148248035971,722.7572234602676
32.25,231.66460236954543,42.854456325551936,725.480941304903
32.5,230.44620858807872,41.43889699606995,728.1148944158516
32.75,229.27424226032875,40.06410497191407,730.6616527677577
33.0,228.14690565188155,38.72935263413412,733.1237417139849
33.25,227.06247108464004,37.43388854930404,735.5036403660569
33.5,226.01927833968577,36.17694142966511,737.8037802306502
33.75,225.01573212981407,34.957723785783216,740.0265440844041
34.0,224.0502996438428,33.77543528831697,742.1742650678418
34.25,223.1215081641051,32.629265855157776,744.2492259807385
34.5,222.22794275793981,31.518398479793362,746.2536587622683
34.75,221.36824404348457,30.442011816281312,748.1897441402357
