t,mean_I,sd_I
0.0,10.0,0.0
0.25,11.05,1.2763022245616642
0.5,12.6,2.6036411750510187
0.75,13.7,3.5997075904637175
1.0,15.6,4.805698371944006
1.25,17.1,5.3695045346259285
1.5,18.85,6.376560696471842
1.75,20.1,7.09262033087171
2.0,22.2,8.069435511464492
2.25,24.6,10.13799523418812
2.5,27.7,12.269345626612004
2.75,29.6,14.350499716221146
3.0,32.05,15.264251321995872
3.25,36.25,18.467254091613363
3.5,40.5,20.94227655648786
3.75,44.9,24.04360074618827
4.0,49.9,26.31969444711457
4.25,54.45,27.440797517948575
4.5,59.7,29.622359975638606
4.75,66.1,33.826025483346406
5.0,73.4,36.662615406174346
5.25,80.9,40.229473353696655
5.5,89.0,42.39538207225678
5.75,95.9,44.07398086710212
6.0,103.45,46.07485328531343
6.25,114.3,48.48342093193463
6.5,123.45,50.375928880034714
6.75,131.05,51.22034443666428
7.0,142.2,57.09143174721902
7.25,149.95,58.236789782838535
7.5,159.0,58.342906482640245
7.75,169.35,57.826669316246516
8.0,178.8,57.66655511600609
8.25,186.6,56.86586248171634
8.5,199.7,54.4775182988359
8.75,209.25,55.838936613310096
9.0,216.2,55.27119741020538
9.25,226.5,54.79099042341676
9.5,235.7,56.74606408794961
9.75,244.3,54.98526118305178
10.0,251.0,53.82036398007141
10.25,256.4,52.72510637357939
10.5,259.65,48.11529464678948
10.75,263.65,46.66033478346745
11.0,266.65,43.287624340596835
11.25,269.45,40.28644149612935
11.5,271.7,38.288516898879614
11.75,271.0,36.54989380069531
12.0,272.3,33.156883860948405
12.25,270.75,31.36353061489696
12.5,268.75,30.181686674642883
12.75,265.45,28.642028375687435
13.0,262.85,27.566713337112322
13.25,260.55,26.565658480947082
13.5,257.65,25.300873710730144
13.75,253.5,22.744577144314732
14.0,250.6,21.463310187632434
14.25,247.15,22.043676739839167
14.5,242.85,22.520809090822272
14.75,237.8,24.189166779235784
15.0,232.2,25.00021052542937
15.25,226.3,24.488665476952907
15.5,219.75,24.595410354908
15.75,212.8,26.851639173722514
16.0,207.65,27.629646548970776
16.25,199.8,27.389202636306003
16.5,192.9,28.233798334992983
16.75,186.05,27.982090136747335
17.0,180.15,30.623821137353698
17.25,175.0,30.786189658420064
17.5,166.95,31.037286574292168
17.75,160.1,31.412200110617434
18.0,154.25,32.20636583037583
18.25,149.05,32.85290181848077
18.5,144.55,33.0015549872873
18.75,139.5,33.430997277188254
19.0,134.25,32.322185634800846
19.25,130.0,32.52043891721668
19.5,125.35,33.510838780750824
19.75,119.15,32.55970224873556
20.0,113.25,32.4067488097935
20.25,108.55,31.384667728383754
20.5,104.2,31.768239684181097
20.75,100.0,28.18174100930937
21.0,95.9,28.44366546813469
21.25,92.7,28.59536215616276
21.5,87.9,27.967838672303586
21.75,84.0,27.4897109938667
22.0,79.45,26.55575069051602
22.25,76.35,26.531560154098106
22.5,73.5,25.726292100945248
22.75,70.35,26.328441695346555
23.0,67.15,25.435729118495374
23.25,64.3,22.907364938400324
23.5,61.95,22.361797781037193
23.75,58.55,21.590629058874008
24.0,55.9,20.69808025677235
24.25,53.85,20.16060514964767
24.5,51.7,20.35242129653322
24.75,49.65,18.672453676894996
25.0,47.0,18.281425718903584
25.25,45.6,17.622951542026993
25.5,43.55,17.409842951013292
25.75,40.95,16.26903743149448
26.0,38.65,14.386671463179857
26.25,36.45,13.558741596630954
26.5,34.75,13.710829373355324
26.75,32.75,12.76044463835101
27.0,31.35,12.175363390232363
27.25,29.9,12.396519036024843
27.5,28.6,11.704250240156803
27.75,27.2,10.966935953607384
28.0,26.2,10.904368994026877
28.25,24.8,9.992628862263793
