t,mean_I,sd_I
0.0,10.0,0.0
0.25,9.8,0.8944271909999157
0.5,10.1,1.4473205733717958
0.75,10.2,1.3992479182911457
1.0,10.1,1.8609561775433732
1.25,10.1,2.100125309544522
1.5,10.25,2.29128784747792
1.75,9.75,2.2682012349227887
2.0,9.25,2.173403830521681
2.25,9.35,2.1095023109728985
2.5,9.75,2.7505980211009042
2.75,10.05,3.1535276821529985
3.0,10.1,3.3701475838369603
3.25,10.7,3.785011993306452
3.5,10.65,4.081730799034825
3.75,10.9,4.6214602385871615
4.0,10.85,4.568484719420538
4.25,10.85,4.4871160589309245
4.5,10.75,4.265837364580679
4.75,11.1,4.610057654622919
5.0,10.65,4.727021984516813
5.25,11.0,4.8231895976352455
5.5,11.05,4.773556546775492
5.75,11.2,5.115507897817339
6.0,11.35,5.5561724803662225
6.25,11.7,6.216277444191007
6.5,11.95,6.38645771185116
6.75,11.9,6.766014141902236
7.0,11.9,6.827961088903403
7.25,12.0,7.174516304987139
7.5,11.75,7.158910531638177
7.75,11.45,7.074602462329597
8.0,11.85,7.336103942327395
8.25,12.05,7.890533968990278
8.5,11.8,7.585304351524938
8.75,11.9,7.426127417507232
9.0,11.85,7.147137815053549
9.25,11.75,7.099851740483184
9.5,12.4,7.148058256764928
9.75,13.2,7.95116674655858
10.0,12.95,7.69466664234664
10.25,13.1,8.025616880700788
10.5,13.25,8.372102798171907
10.75,13.5,8.52550353505972
11.0,13.65,8.701330811705578
11.25,13.8,8.912439562059784
11.5,13.8,8.68513551692594
11.75,14.25,9.306901796657767
12.0,13.85,9.189668111526117
12.25,14.0,9.335839262585989
12.5,13.8,9.54545910230012
12.75,13.85,9.964542401091878
13.0,13.85,9.858338709197566
13.25,13.35,9.39918809483592
13.5,13.6,10.153557841569882
13.75,13.1,9.591114308786572
14.0,13.15,9.449449997918286
14.25,13.3,9.846719998905327
14.5,13.6,10.490095579314703
14.75,13.55,10.71386214701604
15.0,14.2,11.255875658610718
15.25,13.85,10.974971526158962
15.5,13.55,11.076171673794533
15.75,13.7,11.117080267957524
16.0,14.1,10.987552766174716
16.25,14.3,11.02198759418263
16.5,14.6,11.146866446627383
16.75,15.2,11.772403054780723
17.0,15.4,11.550347454331815
17.25,14.85,12.049350277308035
17.5,14.55,11.83871881403958
17.75,14.4,12.171580358402627
18.0,14.45,12.193505605336325
18.25,14.2,11.632983958962278
18.5,14.4,11.582200499950458
18.75,13.8,11.105238213990445
19.0,13.7,11.31882456236884
19.25,13.25,11.715374513859981
19.5,12.9,11.61170008859032
19.75,12.9,11.442763744186243
20.0,12.5,11.283429863019675
20.25,12.65,11.277714400766813
20.5,12.75,12.264089641585391
20.75,12.85,12.278672138048325
21.0,12.75,11.661339635962205
21.25,12.9,11.656938299841679
21.5,13.2,12.551368136791428
21.75,12.85,12.325732603400345
22.0,12.75,12.392166456019067
22.25,12.65,12.415079964555838
22.5,12.9,12.764671641106291
22.75,12.85,12.09295140502146
23.0,13.3,12.346318436982273
23.25,12.8,11.386048711610094
23.5,13.45,11.936123852892067
23.75,13.3,12.507261048981443
24.0,13.2,13.205262109038996
24.25,13.6,14.162218083783047
24.5,13.5,13.45362404707371
24.75,13.7,13.63084736911099
25.0,13.45,13.655440404160496
25.25,13.8,14.021036826291077
25.5,14.5,15.209069316486271
25.75,14.4,15.373935564351832
26.0,14.3,14.935299056086452
26.25,14.45,14.92604576253413
26.5,14.8,15.490574383696755
26.75,15.1,15.973333040447526
27.0,14.85,15.818959311035934
27.25,14.55,16.02128518400969
27.5,14.6,16.35912750214934
27.75,14.3,15.957509369044967
28.0,14.0,15.801399005351259
28.25,13.55,14.66278856224329
28.5,13.25,14.472751166097947
28.75,13.4,14.791178025039827
29.0,13.6,14.805404418657396
29.25,13.7,15.10001742766509
29.5,13.4,15.101063050764271
29.75,13.1,15.018935416754129
30.0,12.65,14.747970422364812
30.25,12.55,14.712955265057355
30.5,12.3,14.484474446799924
30.75,12.5,14.132828524582868
31.0,13.0,15.403348918165063
31.25,13.3,16.581854381728302
31.5,13.15,16.24572818344953
31.75,12.8,15.223250915000143
32.0,12.65,15.016745039420073
32.25,12.2,14.92648652563623
32.5,12.4,16.125821072527064
32.75,12.5,15.958828607586328
33.0,12.2,15.13309374568827
33.25,11.9,15.700821299336036
33.5,11.2,14.688341241306066
33.75,11.2,14.343896556412158
34.0,10.7,13.416800151891263
34.25,10.7,12.802549088282953
34.5,10.9,12.814054783713077
34.75,11.1,12.544237511177876
35.0,11.15,12.29152467952485
35.25,11.35,12.415079964555838
35.5,10.85,11.490384996527357
35.75,10.7,11.007652840303036
36.0,10.8,11.176102324061583
36.25,10.5,10.836099511889827
36.5,10.25,10.62705088565571
36.75,10.3,10.27567387981005
37.0,10.7,10.633116095234588
37.25,10.65,10.403820148590157
37.5,10.6,10.555118488950724
37.75,10.55,10.495487752262623
38.0,10.6,10.58996545891688
38.25,10.8,10.758595095134522
38.5,10.85,10.77167337828348
38.75,10.7,10.382677881933928
39.0,10.1,9.678516632755574
39.25,9.9,9.458496598018991
39.5,10.0,9.431191251430151
39.75,9.85,9.576698694995935
40.0,10.05,9.610712225099876
40.25,9.9,9.469619010843378
40.5,10.05,9.522687590558057
40.75,10.2,9.572988314165952
41.0,9.7,9.182936120297999
41.25,9.7,9.431749293574448
41.5,9.95,9.917952887248669
41.75,9.7,9.771602249698653
42.0,9.35,9.565700788700603
42.25,9.7,9.575736882460026
42.5,9.6,9.588370148532187
42.75,9.7,10.026806176707673
43.0,9.85,10.142536794686965
43.25,9.9,10.197522919033354
43.5,10.05,10.054980436527332
43.75,9.8,9.886726881079127
44.0,9.7,9.889388252060892
44.25,9.4,9.746254341243644
44.5,9.4,9.405485521478242
44.75,9.25,9.060469373225533
45.0,9.25,8.949419269603917
45.25,9.4,8.970125857240625
45.5,9.4,9.046080861199973
45.75,9.2,8.593755382773432
46.0,9.3,8.802511603304808
46.25,9.2,8.727452151265657
46.5,9.55,9.121836149418717
46.75,8.9,8.328138731844115
47.0,8.6,8.191137701327287
47.25,8.55,8.261992877979832
47.5,8.25,8.00575450929879
47.75,8.45,8.43223763771796
48.0,8.05,8.159431094719391
48.25,7.7,7.994076754566143
48.5,7.35,7.955633555107846
48.75,7.45,8.094670111284728
49.0,7.45,8.21727961131458
49.25,7.1,8.129866963370635
49.5,7.05,8.306465458969456
49.75,7.05,8.217279611314583
50.0,6.9,8.232797056190625
50.25,7.0,8.379172173657102
50.5,6.8,8.250039872311943
50.75,6.7,8.240464984325506
51.0,6.8,8.605995462161065
51.25,7.05,9.017380877768048
51.5,6.95,8.804753500838414
51.75,6.95,9.12760417057712
52.0,7.0,9.06700205778015
52.25,7.0,9.153659032551438
52.5,6.5,8.055726959257324
52.75,6.45,7.8838609296394075
53.0,6.1,8.02561688070079
53.25,6.05,7.976775499437166
53.5,6.1,7.893368302435579
53.75,5.8,7.702357807157084
54.0,5.85,7.679603882328415
54.25,5.85,7.801990299377392
54.5,5.65,7.471172669175273
54.75,5.8,7.522597535706036
55.0,5.9,7.60124643518555
55.25,5.85,7.541289851980161
55.5,6.1,8.04526666987948
55.75,6.05,7.749193506423748
56.0,5.85,7.5691548579189405
56.25,6.0,7.595012213704188
56.5,5.95,7.351870510285121
56.75,6.0,7.326950970650465
57.0,5.8,7.2518600154864075
57.25,5.75,7.297259759663212
57.5,5.55,7.221860089886451
57.75,5.15,6.674972895667422
58.0,5.0,6.774565435664878
58.25,5.1,7.217668379892862
58.5,5.1,7.137005121566268
58.75,5.4,7.590853221580494
59.0,5.45,7.970174666249563
59.25,5.7,7.9013656381266415
59.5,5.75,8.32798073712318
59.75,5.45,7.803339366140493
60.0,5.25,7.683714836211097
60.25,5.0,7.476278274790556
60.5,4.75,7.136820757614401
60.75,4.8,7.230054232889703
61.0,4.9,7.173782676854439
61.25,4.85,7.03581065542183
61.5,4.5,6.2111953252510945
61.75,4.35,5.887319111088635
62.0,4.2,5.502152688768852
62.25,3.95,4.8933359625214035
62.5,4.05,5.325954325159408
62.75,3.7,4.985241376197081
63.0,3.85,5.29423718475297
63.25,3.85,5.284286537511599
63.5,3.75,5.3299056968057235
63.75,3.85,5.584518072785077
64.0,3.95,5.661271941887264
64.25,4.05,5.880162905011534
64.5,4.1,5.739062824648563
64.75,4.1,5.8119658781191275
65.0,3.85,5.489463591856293
65.25,3.8,5.217379862687683
65.5,3.85,5.0915306353322
65.75,3.7,4.758372123232681
66.0,3.75,4.908370937812045
66.25,3.65,4.85879560558397
66.5,3.65,4.682273401941231
66.75,3.4,4.36975249208754
67.0,3.2,4.237675629026142
67.25,3.2,4.212762564048992
67.5,3.0,4.065257161542635
67.75,2.95,4.186129980127983
68.0,3.0,4.388981418818818
68.25,3.0,4.530597729822598
68.5,3.0,4.376973239219324
68.75,3.05,4.65069321375008
69.0,3.1,4.632834757978839
69.25,3.2,4.708335274025372
69.5,3.25,4.97229164576318
69.75,3.15,4.8152717581942515
70.0,3.35,5.153179907386773
70.25,3.3,4.985241376197081
70.5,3.15,4.965936600057383
70.75,3.1,4.993680216560044
71.0,2.9,4.541040919390503
71.25,2.8,4.360106227580868
71.5,2.85,4.428080254110364
71.75,2.9,4.3877820797012435
72.0,2.75,4.265837364580679
72.25,2.7,4.219004621945798
72.5,2.65,4.295346318982905
72.75,2.5,4.110320771193565
73.0,2.7,4.219004621945797
73.25,2.9,4.587167455321191
73.5,2.9,4.68929351653429
73.75,3.0,4.952405051030628
74.0,3.0,4.984185516527038
74.25,3.05,5.041668479048536
74.5,2.85,4.591468060149
74.75,3.05,5.216118742594163
75.0,3.15,5.527681535498833
75.25,3.25,6.042611843792123
75.5,3.3,6.096590936960719
75.75,3.4,6.193375068316313
76.0,3.5,6.202715873754522
76.25,3.6,6.116414498363357
76.5,3.55,6.125657859407943
76.75,3.4,5.879491564126236
77.0,3.15,5.333854141237835
77.25,3.05,5.216118742594163
77.5,3.0,5.03670736221905
77.75,3.0,5.170768038237952
78.0,3.05,4.989198859852942
78.25,3.0,4.941766144970738
78.5,2.85,4.51051403302387
78.75,2.85,4.556949579892695
79.0,2.7,4.243881044019669
79.25,2.5,4.097496026137246
79.5,2.45,3.8726435959241887
79.75,2.25,3.5075107382511845
80.0,2.3,3.7988918051674516
