t,mean_I,sd_I
0.0,10.0,0.0
0.25,9.95,1.3168942730211068
0.5,10.55,1.7312909694943344
0.75,10.6,1.8180382718454355
1.0,11.1,2.314712668311578
1.25,10.75,2.4894514297436356
1.5,11.1,3.0762246170812757
1.75,12.0,3.8797721039962343
2.0,12.9,4.351648205595572
2.25,12.6,4.892529213531908
2.5,13.75,5.056262401585207
2.75,14.1,5.6837719129020945
3.0,14.25,5.485627153130068
3.25,15.2,6.212042633804965
3.5,15.45,6.1855093820791724
3.75,15.85,6.698585868045504
4.0,16.8,7.156888474161026
4.25,17.2,8.230878957988184
4.5,17.9,9.380270448351183
4.75,18.15,9.09178345077518
5.0,18.9,9.77591024164152
5.25,19.35,9.953973023238932
5.5,19.65,10.15290987586162
5.75,20.45,10.485453583040902
6.0,21.05,10.625069659214375
6.25,21.6,11.654680559645058
6.5,22.5,12.576084237028715
6.75,23.0,12.091754476327639
7.0,23.6,12.500105262714685
7.25,24.15,12.934144937457514
7.5,25.4,12.902060219001338
7.75,26.1,13.50594411049407
8.0,26.1,12.981363159302038
8.25,27.0,13.761119905466689
8.5,27.1,13.20247185787172
8.75,27.5,12.98784857188887
9.0,28.5,13.763032101669273
9.25,28.65,13.765995480855983
9.5,28.4,13.88827600986947
9.75,28.55,14.21813149319891
10.0,29.5,14.354533485242472
10.25,30.6,14.608577148914588
10.5,31.25,15.687323075118899
10.75,32.4,16.00131573537495
11.0,34.5,17.388744090722355
11.25,35.4,17.951396368498674
11.5,35.8,18.001754300476854
11.75,37.5,18.900013923693006
12.0,38.15,19.78908524254828
12.25,39.4,20.077219350350916
12.5,40.25,19.71607679561343
12.75,41.6,20.18441295445051
13.0,42.4,20.45122567424621
13.25,42.35,20.332175693246715
13.5,43.75,21.309437000145213
13.75,44.7,21.788698180961905
14.0,44.6,21.48291855111135
14.25,45.7,20.49159005928761
14.5,46.2,21.688221397072212
14.75,46.85,20.964318056615802
15.0,47.25,22.1641602593015
15.25,48.2,23.469128658729534
15.5,47.75,23.69960026311792
15.75,47.95,24.566719036341144
16.0,48.65,24.809325496251347
16.25,48.65,23.95890121371222
16.5,49.1,24.86151115363073
16.75,49.1,23.670768115080143
17.0,49.8,24.28688188259142
17.25,50.45,24.603112768402635
17.5,51.15,25.33205790879882
17.75,51.35,24.67104631578866
18.0,51.2,23.90023122548355
18.25,51.95,22.7976799373602
18.5,51.2,22.97733436969663
18.75,51.3,22.83602878186826
19.0,50.55,22.56330276309183
19.25,51.7,22.799122790142604
19.5,52.1,24.082970615856564
19.75,51.7,23.01967122175933
20.0,52.35,22.337777771960077
20.25,52.7,23.73782236276773
20.5,52.0,24.015345970967463
20.75,50.85,22.753310921594174
21.0,52.1,22.631835983852476
21.25,52.25,22.475425176002908
21.5,51.85,22.429480131009914
21.75,51.35,22.59081089385915
22.0,51.6,23.247863512476517
22.25,50.85,21.878311779380727
22.5,49.55,20.702084817464005
22.75,49.6,21.777342160579362
23.0,49.0,21.265242211547683
23.25,47.35,19.55632889885011
23.5,45.65,19.002146693133604
23.75,45.55,19.09112497029913
24.0,45.7,19.156145090723292
24.25,45.4,18.607864777532843
24.5,45.3,18.479291396758583
24.75,43.3,17.457014877150463
25.0,42.0,17.05717938057323
25.25,41.3,16.415974248466515
25.5,41.2,15.873181619853098
25.75,40.45,15.76964105321895
26.0,40.7,15.768389431491025
26.25,42.05,16.442803577057173
26.5,42.1,15.880806024884253
26.75,41.35,15.855515394368378
27.0,40.5,15.732969071013699
27.25,39.35,16.16778798788049
27.5,38.85,15.91845998898928
27.75,38.15,15.211750997865192
28.0,36.9,14.867484833123518
28.25,36.15,15.065733164684474
28.5,34.0,13.988717258073228
28.75,32.85,13.243767153686017
29.0,32.1,12.91632993335833
29.25,32.25,12.96503394762844
29.5,32.25,13.0862523283024
29.75,31.65,12.60022973892477
30.0,31.85,13.223881904780416
30.25,30.6,13.003643214195984
30.5,29.6,12.495894062493193
30.75,29.8,13.237108922705854
31.0,29.25,13.641558021837458
31.25,29.15,13.44100168572973
31.5,28.45,13.69392873541141
31.75,28.15,14.098432163672818
32.0,27.75,14.081996718468137
32.25,27.1,13.74160030518165
32.5,27.0,14.082463899250167
32.75,26.7,14.790110493875716
33.0,26.25,14.938029884897983
33.25,26.0,14.168162975674127
33.5,25.6,14.317453463664917
33.75,25.0,14.301269726477914
34.0,24.35,14.172898526115924
34.25,23.15,13.929427388389698
34.5,22.15,13.811798922431652
34.75,21.65,13.287409949192307
35.0,21.5,13.272448709143392
35.25,20.6,12.861202366644786
35.5,20.05,11.96695010171105
35.75,19.6,11.334158896659991
36.0,19.25,11.111279238494074
36.25,18.6,10.46497919126857
36.5,18.65,10.459319692076182
36.75,18.15,10.776558380406788
37.0,18.5,11.05250626495376
37.25,17.6,10.786931664604264
37.5,17.5,11.371710050545792
37.75,17.45,10.610198668708975
38.0,16.9,10.542645228833825
38.25,16.3,10.52865763423559
38.5,15.85,10.10614716528093
38.75,15.0,10.25978352085154
39.0,14.5,10.091684956594607
39.25,14.45,9.741257889161844
39.5,13.85,10.064397908626123
39.75,14.4,9.922860368600217
40.0,14.1,9.786671925042805
40.25,13.3,9.931873200114765
40.5,12.8,9.305346510700744
40.75,12.75,9.170174767318118
41.0,12.35,9.062792645002741
41.25,12.05,9.034873954207722
41.5,11.4,8.19756061276768
41.75,10.8,8.069435511464492
42.0,10.4,7.415488769070487
42.25,10.4,8.20397849569919
42.5,10.2,8.612108978213849
42.75,9.5,7.996709849747747
43.0,9.3,7.384906370785154
43.25,9.4,7.155417527999327
43.5,9.45,7.044781569958081
43.75,9.05,6.6922972218262355
44.0,9.3,7.049449399925165
44.25,9.4,7.0591485993261545
44.5,9.5,7.337717987437095
44.75,8.8,6.786984447804256
45.0,8.9,7.1000370643954716
45.25,9.15,7.895868339967762
45.5,9.0,8.019712555552363
45.75,8.75,8.181333053134788
46.0,8.9,8.943683451699894
46.25,8.4,8.456700862256167
46.5,8.5,8.599265574515805
46.75,8.2,8.642611691040228
47.0,8.45,8.77481443798401
47.25,7.85,8.041176923547292
47.5,7.65,7.672747397873785
47.75,7.6,7.521198112842898
48.0,7.15,7.035810655421831
48.25,6.95,6.886103473854543
48.5,6.95,7.074602462329597
48.75,6.9,7.433211390707744
49.0,6.65,7.102816342831904
49.25,6.45,7.0968858997227935
49.5,6.35,7.013333166566605
49.75,6.1,6.356927427286666
50.0,6.25,6.5282785673278045
50.25,6.15,6.4094913173643056
50.5,6.0,6.0
50.75,6.15,6.115338782197813
51.0,5.75,5.571308076584037
51.25,5.65,5.274317117185084
51.5,5.15,4.738143096192854
51.75,5.0,4.553772293962793
52.0,4.65,4.463595435355484
52.25,4.55,4.593760069806364
52.5,4.1,4.22897275071805
52.75,4.05,4.122786487444218
53.0,4.2,4.311551192344877
53.25,4.1,4.459171506716891
53.5,4.0,4.565315461516093
53.75,3.55,4.442320398881174
54.0,3.55,4.53611240926343
54.25,3.35,4.2460507967311285
54.5,3.5,4.370956778314644
54.75,3.4,4.381780460041329
55.0,3.4,4.4295657384871205
55.25,3.6,5.040885469417994
55.5,3.75,5.3888286003741594
55.75,3.8,5.643813566990619
56.0,3.7,5.956862473342472
56.25,3.8,6.07497021868377
56.5,3.7,5.573433223313692
56.75,3.2,4.763899331651044
57.0,3.4,5.295479700948526
57.25,3.4,5.452184497013439
57.5,3.1,4.778240151705273
57.75,3.05,4.706937768644783
58.0,2.95,4.729248299009496
58.25,2.8,4.80788825511619
58.5,2.8,5.001052520798943
58.75,2.6,4.772729551150059
59.0,2.35,4.522167621838005
59.25,2.25,4.228661602371183
59.5,2.15,4.016741281974205
59.75,2.3,4.8133586042005625
60.0,2.25,4.44705698068663
60.25,2.25,4.5523273400016295
60.5,2.4,4.977845655343389
60.75,2.35,5.3829653342255215
61.0,2.3,5.161599099422377
61.25,2.25,4.810897716861715
61.5,2.3,5.068997617094061
61.75,2.4,5.481067894412356
62.0,2.1,4.552616367482955
62.25,2.25,4.777964772622445
62.5,2.35,5.203996439984218
62.75,2.3,5.458937625582472
63.0,2.2,5.011565571124876
63.25,2.2,5.011565571124875
63.5,2.2,4.894680248682451
63.75,2.2,5.063803438440111
64.0,2.3,5.262578915522813
64.25,2.4,5.509799881741813
64.5,2.35,5.869412236331676
64.75,2.45,5.906953975032979
