parameter,value,replicate,peak,time_peak,R_T,cases,I_T,vaccinated,population,balance
beta,0.03,1,20,9.721272063389504,151,152,1,0,1000,true
beta,0.03,2,11,0.033091631164309236,21,21,0,0,1000,true
beta,0.03,3,10,0.0,56,56,0,0,1000,true
beta,0.03,4,16,1.5089897825920113,32,32,0,0,1000,true
beta,0.03,5,60,23.721773143713715,477,478,1,0,1000,true
beta,0.03,6,23,4.321173628396541,144,144,0,0,1000,true
beta,0.03,7,48,28.050167395036077,395,398,3,0,1000,true
beta,0.03,8,63,18.58207918808758,444,444,0,0,1000,true
beta,0.03,9,40,39.787234254433244,343,343,0,0,1000,true
beta,0.03,10,41,47.75986599183624,394,399,5,0,1000,true
beta,0.03,11,36,45.5023239171601,308,316,8,0,1000,true
beta,0.03,12,15,7.635490533044121,127,127,0,0,1000,true
beta,0.03,13,21,20.537643378289605,201,207,6,0,1000,true
beta,0.03,14,33,10.62736944252575,334,341,7,0,1000,true
beta,0.03,15,34,58.15600720603411,247,264,17,0,1000,true
beta,0.03,16,68,18.688633880469464,495,498,3,0,1000,true
beta,0.03,17,75,28.333987176421527,441,441,0,0,1000,true
beta,0.03,18,23,45.829698948960576,269,277,8,0,1000,true
beta,0.03,19,13,0.40494245222094705,15,15,0,0,1000,true
beta,0.03,20,18,3.67479458513213,99,99,0,0,1000,true
beta,0.05,1,175,21.416150511665272,815,817,2,0,1000,true
beta,0.05,2,202,14.708382313346425,801,801,0,0,1000,true
beta,0.05,3,215,20.11490149500806,835,835,0,0,1000,true
beta,0.05,4,197,19.749531715451223,833,833,0,0,1000,true
beta,0.05,5,158,19.285702012087757,779,779,0,0,1000,true
beta,0.05,6,170,16.31415708767354,793,793,0,0,1000,true
beta,0.05,7,172,20.114704748160406,804,804,0,0,1000,true
beta,0.05,8,163,15.665933863895395,837,837,0,0,1000,true
beta,0.05,9,158,15.25164070176521,769,769,0,0,1000,true
beta,0.05,10,173,18.60080490126406,802,802,0,0,1000,true
beta,0.05,11,150,19.034308360217434,747,747,0,0,1000,true
beta,0.05,12,162,20.689840742095583,752,752,0,0,1000,true
beta,0.05,13,175,18.330137640561215,777,777,0,0,1000,true
beta,0.05,14,200,13.151893320769647,851,851,0,0,1000,true
beta,0.05,15,126,17.199830581653355,752,752,0,0,1000,true
beta,0.05,16,170,20.061535078238,785,785,0,0,1000,true
beta,0.05,17,176,16.991681127817294,820,820,0,0,1000,true
beta,0.05,18,187,22.577327515196373,823,823,0,0,1000,true
beta,0.05,19,183,18.363059467643616,822,822,0,0,1000,true
beta,0.05,20,176,19.17733239638275,809,809,0,0,1000,true
beta,0.07,1,305,10.186903084794249,930,930,0,0,1000,true
beta,0.07,2,270,11.698567332576802,902,902,0,0,1000,true
beta,0.07,3,291,11.616731042986173,917,917,0,0,1000,true
beta,0.07,4,284,11.343480872584028,928,928,0,0,1000,true
beta,0.07,5,286,11.940011890417782,920,920,0,0,1000,true
beta,0.07,6,356,9.814821603457348,946,946,0,0,1000,true
beta,0.07,7,280,9.789130889845758,930,930,0,0,1000,true
beta,0.07,8,265,12.717788637569788,915,915,0,0,1000,true
beta,0.07,9,272,12.018791224073468,908,908,0,0,1000,true
beta,0.07,10,301,12.646996078787286,920,920,0,0,1000,true
beta,0.07,11,260,15.775602180324677,908,908,0,0,1000,true
beta,0.07,12,283,12.937990114698627,936,936,0,0,1000,true
beta,0.07,13,321,11.184598802812529,944,944,0,0,1000,true
beta,0.07,14,299,11.45465011936414,928,928,0,0,1000,true
beta,0.07,15,321,12.165757991254216,939,939,0,0,1000,true
beta,0.07,16,277,11.958711359670662,910,910,0,0,1000,true
beta,0.07,17,291,11.76551096594371,922,922,0,0,1000,true
beta,0.07,18,295,11.66704974874687,926,926,0,0,1000,true
beta,0.07,19,269,10.747703326871305,917,917,0,0,1000,true
beta,0.07,20,305,11.99442310800926,926,926,0,0,1000,true
contact,6.0,1,38,43.04696448427235,336,336,0,0,1000,true
contact,6.0,2,16,1.2726009951012094,75,75,0,0,1000,true
contact,6.0,3,27,16.335966362146497,208,212,4,0,1000,true
contact,6.0,4,29,8.236595261129127,230,230,0,0,1000,true
contact,6.0,5,16,3.369367730766609,42,42,0,0,1000,true
contact,6.0,6,34,17.918245292694362,226,226,0,0,1000,true
contact,6.0,7,22,8.182441671013482,106,106,0,0,1000,true
contact,6.0,8,21,27.382486594698026,135,141,6,0,1000,true
contact,6.0,9,22,63.89889562004243,239,246,7,0,1000,true
contact,6.0,10,12,0.45448254956472534,71,71,0,0,1000,true
contact,6.0,11,28,25.29137247952993,293,295,2,0,1000,true
contact,6.0,12,18,36.89738730498761,170,175,5,0,1000,true
contact,6.0,13,44,16.558126816310867,349,349,0,0,1000,true
contact,6.0,14,73,27.571314797568387,436,436,0,0,1000,true
contact,6.0,15,12,1.363034008030393,37,37,0,0,1000,true
contact,6.0,16,39,51.80455937992361,282,291,9,0,1000,true
contact,6.0,17,27,40.38501252841206,252,265,13,0,1000,true
contact,6.0,18,12,1.59646668989263,39,39,0,0,1000,true
contact,6.0,19,12,0.5630549887881913,20,20,0,0,1000,true
contact,6.0,20,27,11.80746915307782,146,146,0,0,1000,true
contact,10.0,1,175,21.416150511665272,815,817,2,0,1000,true
contact,10.0,2,202,14.708382313346425,801,801,0,0,1000,true
contact,10.0,3,215,20.11490149500806,835,835,0,0,1000,true
contact,10.0,4,197,19.749531715451223,833,833,0,0,1000,true
contact,10.0,5,158,19.285702012087757,779,779,0,0,1000,true
contact,10.0,6,170,16.31415708767354,793,793,0,0,1000,true
contact,10.0,7,172,20.114704748160406,804,804,0,0,1000,true
contact,10.0,8,163,15.665933863895395,837,837,0,0,1000,true
contact,10.0,9,158,15.25164070176521,769,769,0,0,1000,true
contact,10.0,10,173,18.60080490126406,802,802,0,0,1000,true
contact,10.0,11,150,19.034308360217434,747,747,0,0,1000,true
contact,10.0,12,162,20.689840742095583,752,752,0,0,1000,true
contact,10.0,13,175,18.330137640561215,777,777,0,0,1000,true
contact,10.0,14,200,13.151893320769647,851,851,0,0,1000,true
contact,10.0,15,126,17.199830581653355,752,752,0,0,1000,true
contact,10.0,16,170,20.061535078238,785,785,0,0,1000,true
contact,10.0,17,176,16.991681127817294,820,820,0,0,1000,true
contact,10.0,18,187,22.577327515196373,823,823,0,0,1000,true
contact,10.0,19,183,18.363059467643616,822,822,0,0,1000,true
contact,10.0,20,176,19.17733239638275,809,809,0,0,1000,true
contact,14.0,1,288,14.940214541248825,927,927,0,0,1000,true
contact,14.0,2,314,12.809698776561067,952,952,0,0,1000,true
contact,14.0,3,309,11.399401519465057,920,920,0,0,1000,true
contact,14.0,4,288,10.49711823294513,932,932,0,0,1000,true
contact,14.0,5,313,12.124814407872442,895,895,0,0,1000,true
contact,14.0,6,323,10.455757980212592,938,938,0,0,1000,true
contact,14.0,7,327,11.9666290217145,923,923,0,0,1000,true
contact,14.0,8,314,11.846062607222455,948,948,0,0,1000,true
contact,14.0,9,247,11.621973203113788,924,924,0,0,1000,true
contact,14.0,10,292,11.611245659730193,919,919,0,0,1000,true
contact,14.0,11,293,13.229055449164703,940,940,0,0,1000,true
contact,14.0,12,310,11.844735487297736,938,938,0,0,1000,true
contact,14.0,13,287,12.417000212169919,913,913,0,0,1000,true
contact,14.0,14,293,12.354625579485106,927,927,0,0,1000,true
contact,14.0,15,258,14.410782269397975,908,908,0,0,1000,true
contact,14.0,16,327,9.424393599104686,955,955,0,0,1000,true
contact,14.0,17,255,10.402307338338291,935,935,0,0,1000,true
contact,14.0,18,296,10.917252355599336,906,906,0,0,1000,true
contact,14.0,19,291,14.876734642464447,923,923,0,0,1000,true
contact,14.0,20,276,11.104206937559715,932,932,0,0,1000,true
recovery,0.15,1,317,18.436430858597742,954,954,0,0,1000,true
recovery,0.15,2,322,17.667674394191987,934,934,0,0,1000,true
recovery,0.15,3,405,14.792529326754007,978,978,0,0,1000,true
recovery,0.15,4,379,14.099901739769129,956,956,0,0,1000,true
recovery,0.15,5,372,15.934357379328047,959,959,0,0,1000,true
recovery,0.15,6,388,15.363317463119674,979,979,0,0,1000,true
recovery,0.15,7,300,17.86236784641149,954,955,1,0,1000,true
recovery,0.15,8,331,15.637839516026622,959,959,0,0,1000,true
recovery,0.15,9,325,13.958471653762228,955,955,0,0,1000,true
recovery,0.15,10,337,13.247306649547962,954,954,0,0,1000,true
recovery,0.15,11,337,18.212630848947455,945,945,0,0,1000,true
recovery,0.15,12,331,17.25012005136856,971,973,2,0,1000,true
recovery,0.15,13,355,19.117018181410764,954,954,0,0,1000,true
