fraction,replicate,peak,time_peak,R_T,cases,I_T,vaccinated,population,balance
0.0,1,162,16.999752661160343,803,803,0,0,1000,true
0.0,2,122,26.110613684178936,777,777,0,0,1000,true
0.0,3,221,15.562866048116561,828,828,0,0,1000,true
0.0,4,204,13.583433364372654,811,811,0,0,1000,true
0.0,5,181,16.002724197020278,798,798,0,0,1000,true
0.0,6,187,14.145508162786035,743,743,0,0,1000,true
0.0,7,200,18.41900762204674,767,767,0,0,1000,true
0.0,8,152,19.65644079802802,758,758,0,0,1000,true
0.0,9,166,15.819836210919236,800,800,0,0,1000,true
0.0,10,194,22.517342099517055,830,830,0,0,1000,true
0.0,11,145,18.164465917521813,744,744,0,0,1000,true
0.0,12,193,19.885623973431883,799,799,0,0,1000,true
0.0,13,223,18.083594469431645,818,820,2,0,1000,true
0.0,14,194,19.953932003493026,832,832,0,0,1000,true
0.0,15,128,15.063558751351467,761,762,1,0,1000,true
0.0,16,180,17.656820687923023,822,822,0,0,1000,true
0.0,17,165,17.53873447961318,771,771,0,0,1000,true
0.0,18,204,21.97891975278958,801,801,0,0,1000,true
0.0,19,171,14.7906562026653,820,820,0,0,1000,true
0.0,20,195,15.128431413361067,825,825,0,0,1000,true
0.25,1,74,42.30828181265111,727,480,0,247,1000,true
0.25,2,85,21.168848233781294,716,472,3,247,1000,true
0.25,3,81,28.44306528462778,733,486,0,247,1000,true
0.25,4,72,28.352147313494747,610,363,0,247,1000,true
0.25,5,44,24.695327806325178,553,306,0,247,1000,true
0.25,6,59,15.049875023350763,666,419,0,247,1000,true
0.25,7,70,29.157710802747335,694,447,0,247,1000,true
0.25,8,67,24.412784273250693,686,442,3,247,1000,true
0.25,9,58,25.707337425653133,686,439,0,247,1000,true
0.25,10,101,30.021141430102293,789,542,0,247,1000,true
0.25,11,10,0.0,268,21,0,247,1000,true
0.25,12,53,36.6019836722405,706,469,10,247,1000,true
0.25,13,69,18.166346735648244,739,492,0,247,1000,true
0.25,14,83,21.95295293274467,719,472,0,247,1000,true
0.25,15,71,32.271237802198904,758,514,3,247,1000,true
0.25,16,48,16.323982758952177,662,415,0,247,1000,true
0.25,17,51,23.447719495499143,635,397,9,247,1000,true
0.25,18,40,38.14073060436864,616,369,0,247,1000,true
0.25,19,77,28.43307911335071,699,452,0,247,1000,true
0.25,20,51,30.527292984831607,625,384,6,247,1000,true
0.5,1,30,30.10235764352971,687,192,0,495,1000,true
0.5,2,17,1.5358368811604353,526,31,0,495,1000,true
0.5,3,11,0.26886481865204476,535,40,0,495,1000,true
0.5,4,15,1.355388946342253,516,21,0,495,1000,true
0.5,5,17,16.13201097476885,618,123,0,495,1000,true
0.5,6,30,12.385638250062126,628,133,0,495,1000,true
0.5,7,12,0.35589904634021396,543,48,0,495,1000,true
0.5,8,12,0.9639575004823517,563,68,0,495,1000,true
0.5,9,15,5.518567106981383,597,107,5,495,1000,true
0.5,10,11,0.397490439024921,519,24,0,495,1000,true
0.5,11,14,16.240253184433236,582,87,0,495,1000,true
0.5,12,27,16.55255952255414,679,184,0,495,1000,true
0.5,13,24,23.377128967697985,638,143,0,495,1000,true
0.5,14,21,32.12914129512789,631,136,0,495,1000,true
0.5,15,28,23.481257503607285,610,115,0,495,1000,true
0.5,16,16,15.96445371043745,583,88,0,495,1000,true
0.5,17,20,9.080726970976704,675,181,1,495,1000,true
0.5,18,21,46.40920130679232,669,174,0,495,1000,true
0.5,19,11,0.5333884648755265,527,32,0,495,1000,true
0.5,20,15,1.599747320137746,529,34,0,495,1000,true
0.65,1,10,0.0,662,19,0,643,1000,true
0.65,2,13,8.89024392764924,683,40,0,643,1000,true
0.65,3,11,0.3829684278424539,699,56,0,643,1000,true
0.65,4,15,1.4854791750123901,677,34,0,643,1000,true
0.65,5,12,2.8454914133638174,683,40,0,643,1000,true
0.65,6,14,3.72183280028098,679,36,0,643,1000,true
0.65,7,11,0.15113580526882253,665,22,0,643,1000,true
0.65,8,12,1.823296530403561,678,35,0,643,1000,true
0.65,9,17,5.809786616540366,686,43,0,643,1000,true
0.65,10,11,0.5721142994002515,663,20,0,643,1000,true
0.65,11,10,0.0,653,10,0,643,1000,true
0.65,12,10,0.0,659,16,0,643,1000,true
0.65,13,10,0.0,670,27,0,643,1000,true
0.65,14,11,0.5999904374852656,666,23,0,643,1000,true
0.65,15,12,0.15089356809778992,681,38,0,643,1000,true
0.65,16,11,0.3820432294460331,662,19,0,643,1000,true
