t,event,person,S,E,I,R,B,D,V,cases
0.0,initial,0,990,0,10,0,0,0,0,10
0.27849875074462244,infection,172,989,0,11,0,0,0,0,11
0.34358545659790196,infection,953,988,0,12,0,0,0,0,12
0.360527439587063,infection,636,987,0,13,0,0,0,0,13
0.7569810762835151,infection,942,986,0,14,0,0,0,0,14
0.7630921524148149,infection,77,985,0,15,0,0,0,0,15
0.8432925171373884,infection,87,984,0,16,0,0,0,0,16
0.8568094588918462,infection,142,983,0,17,0,0,0,0,17
1.0650720122660695,infection,651,982,0,18,0,0,0,0,18
1.3531392112893739,infection,255,981,0,19,0,0,0,0,19
1.508687178534453,infection,941,980,0,20,0,0,0,0,20
1.5794940318392872,infection,923,979,0,21,0,0,0,0,21
1.6284617779829809,infection,3,978,0,22,0,0,0,0,22
1.6850621806021313,infection,331,977,0,23,0,0,0,0,23
1.8828673472657684,infection,976,976,0,24,0,0,0,0,24
1.9175998202153628,infection,193,975,0,25,0,0,0,0,25
1.9841299249590987,infection,557,974,0,26,0,0,0,0,26
2.143113175088532,infection,475,973,0,27,0,0,0,0,27
2.167401383255798,infection,794,972,0,28,0,0,0,0,28
2.2642503617161305,infection,451,971,0,29,0,0,0,0,29
2.366905025618517,infection,453,970,0,30,0,0,0,0,30
2.625397524588624,infection,917,969,0,31,0,0,0,0,31
2.7300780843385457,infection,645,968,0,32,0,0,0,0,32
2.7384556833920137,infection,547,967,0,33,0,0,0,0,33
2.7824167042280066,infection,725,966,0,34,0,0,0,0,34
2.9041149115110807,infection,213,965,0,35,0,0,0,0,35
3.1699838163021554,infection,538,964,0,36,0,0,0,0,36
3.233119640891109,infection,666,963,0,37,0,0,0,0,37
3.2527617898619874,infection,911,962,0,38,0,0,0,0,38
3.2715298086898703,infection,633,961,0,39,0,0,0,0,39
3.2859174960602395,infection,171,960,0,40,0,0,0,0,40
3.4032385060785377,infection,347,959,0,41,0,0,0,0,41
3.426898262953417,infection,277,958,0,42,0,0,0,0,42
3.4672915905936432,infection,208,957,0,43,0,0,0,0,43
3.4759067795584397,infection,735,956,0,44,0,0,0,0,44
3.4912124870850727,infection,848,955,0,45,0,0,0,0,45
3.5045631569288846,infection,113,954,0,46,0,0,0,0,46
3.518112582564852,infection,749,953,0,47,0,0,0,0,47
3.5232926544034844,infection,525,952,0,48,0,0,0,0,48
3.54683248979043,infection,775,951,0,49,0,0,0,0,49
3.591099283814801,infection,664,950,0,50,0,0,0,0,50
3.595050788005818,infection,4,949,0,51,0,0,0,0,51
3.602782089587647,infection,609,948,0,52,0,0,0,0,52
3.686051842200674,infection,42,947,0,53,0,0,0,0,53
3.7325687235094076,infection,776,946,0,54,0,0,0,0,54
3.8077112215510915,infection,688,945,0,55,0,0,0,0,55
3.8102640108099632,infection,227,944,0,56,0,0,0,0,56
3.8238003574319537,infection,54,943,0,57,0,0,0,0,57
3.9332140670711855,infection,236,942,0,58,0,0,0,0,58
3.9446353119399364,infection,518,941,0,59,0,0,0,0,59
4.0,recovery,991,941,0,58,1,0,0,0,59
4.0,recovery,992,941,0,57,2,0,0,0,59
4.0,recovery,993,941,0,56,3,0,0,0,59
4.0,recovery,994,941,0,55,4,0,0,0,59
4.0,recovery,995,941,0,54,5,0,0,0,59
4.0,recovery,996,941,0,53,6,0,0,0,59
4.0,recovery,997,941,0,52,7,0,0,0,59
4.0,recovery,998,941,0,51,8,0,0,0,59
4.0,recovery,999,941,0,50,9,0,0,0,59
4.0,recovery,1000,941,0,49,10,0,0,0,59
4.011996919256379,infection,242,940,0,50,10,0,0,0,60
4.027362006598979,infection,793,939,0,51,10,0,0,0,61
4.039682627387508,infection,250,938,0,52,10,0,0,0,62
4.078131861578479,infection,437,937,0,53,10,0,0,0,63
4.105048740352037,infection,972,936,0,54,10,0,0,0,64
4.221081366662409,infection,553,935,0,55,10,0,0,0,65
4.278498750744623,recovery,172,935,0,54,11,0,0,0,65
4.343585456597902,recovery,953,935,0,53,12,0,0,0,65
4.360527439587063,recovery,636,935,0,52,13,0,0,0,65
4.401996355065371,infection,814,934,0,53,13,0,0,0,66
4.4588349192632375,infection,962,933,0,54,13,0,0,0,67
4.475877681080971,infection,139,932,0,55,13,0,0,0,68
4.620937865342015,infection,441,931,0,56,13,0,0,0,69
4.6376198755468065,infection,892,930,0,57,13,0,0,0,70
4.643425768428339,infection,520,929,0,58,13,0,0,0,71
4.653602878635446,infection,850,928,0,59,13,0,0,0,72
4.676054097407486,infection,306,927,0,60,13,0,0,0,73
4.756981076283515,recovery,942,927,0,59,14,0,0,0,73
4.763092152414815,recovery,77,927,0,58,15,0,0,0,73
4.82850880644279,infection,949,926,0,59,15,0,0,0,74
4.843292517137389,recovery,87,926,0,58,16,0,0,0,74
4.8568094588918465,recovery,142,926,0,57,17,0,0,0,74
4.893132344931916,infection,791,925,0,58,17,0,0,0,75
4.895661879063642,infection,209,924,0,59,17,0,0,0,76
4.945023326417274,infection,367,923,0,60,17,0,0,0,77
4.984954605230343,infection,511,922,0,61,17,0,0,0,78
4.989097057850707,infection,129,921,0,62,17,0,0,0,79
5.044580465411668,infection,769,920,0,63,17,0,0,0,80
5.059730808356601,infection,94,919,0,64,17,0,0,0,81
5.06507201226607,recovery,651,919,0,63,18,0,0,0,81
5.071433620807002,infection,855,918,0,64,18,0,0,0,82
5.0941424546205365,infection,19,917,0,65,18,0,0,0,83
5.115839945042712,infection,375,916,0,66,18,0,0,0,84
5.118233306144256,infection,577,915,0,67,18,0,0,0,85
5.121898802290651,infection,48,914,0,68,18,0,0,0,86
5.129239702447843,infection,116,913,0,69,18,0,0,0,87
5.1478751452629234,infection,104,912,0,70,18,0,0,0,88
5.167298266416758,infection,432,911,0,71,18,0,0,0,89
5.2160055008261175,infection,316,910,0,72,18,0,0,0,90
5.22232943624723,infection,919,909,0,73,18,0,0,0,91
5.23151313132318,infection,554,908,0,74,18,0,0,0,92
5.23534412858485,infection,519,907,0,75,18,0,0,0,93
5.235540124622562,infection,957,906,0,76,18,0,0,0,94
5.240564235589265,infection,975,905,0,77,18,0,0,0,95
5.241244820066558,infection,467,904,0,78,18,0,0,0,96
5.250781105224817,infection,918,903,0,79,18,0,0,0,97
5.353139211289374,recovery,255,903,0,78,19,0,0,0,97
5.366347586700648,infection,560,902,0,79,19,0,0,0,98
5.38905138236586,infection,660,901,0,80,19,0,0,0,99
5.4106487796118605,infection,355,900,0,81,19,0,0,0,100
5.436590073085201,infection,866,899,0,82,19,0,0,0,101
5.483840190133683,infection,871,898,0,83,19,0,0,0,102
5.508687178534453,recovery,941,898,0,82,20,0,0,0,102
5.533025996532946,infection,582,897,0,83,20,0,0,0,103
5.546634423278951,infection,75,896,0,84,20,0,0,0,104
5.572981587989705,infection,896,895,0,85,20,0,0,0,105
5.574209795636275,infection,302,894,0,86,20,0,0,0,106
5.579494031839287,recovery,923,894,0,85,21,0,0,0,106
5.600420214853307,infection,266,893,0,86,21,0,0,0,107
5.628461777982981,recovery,3,893,0,85,22,0,0,0,107
5.635498026536282,infection,569,892,0,86,22,0,0,0,108
5.65606233848474,infection,741,891,0,87,22,0,0,0,109
5.685062180602131,recovery,331,891,0,86,23,0,0,0,109
5.6946514741612875,infection,262,890,0,87,23,0,0,0,110
5.703607704212837,infection,359,889,0,88,23,0,0,0,111
