t,event,person,S,E,I,R,B,D,V,cases
0.0,initial,0,990,0,10,0,0,0,0,10
0.1606834138219505,recovery,993,990,0,9,1,0,0,0,10
0.23518618610893052,recovery,997,990,0,8,2,0,0,0,10
0.25020468011486635,recovery,998,990,0,7,3,0,0,0,10
0.3438561920386354,infection,106,989,0,8,3,0,0,0,11
0.7640810993897187,infection,120,988,0,9,3,0,0,0,12
0.8563352263406512,infection,634,987,0,10,3,0,0,0,13
1.063115705688054,infection,855,986,0,11,3,0,0,0,14
1.3489342973329288,infection,682,985,0,12,3,0,0,0,15
1.3510512702198332,recovery,1000,985,0,11,4,0,0,0,15
1.4491045856021698,recovery,992,985,0,10,5,0,0,0,15
1.5067771773865266,infection,447,984,0,11,5,0,0,0,16
1.511478026252694,recovery,999,984,0,10,6,0,0,0,16
1.5714937668168614,infection,497,983,0,11,6,0,0,0,17
1.573555983131668,recovery,634,983,0,10,7,0,0,0,17
1.6057417632543882,recovery,682,983,0,9,8,0,0,0,17
1.661575852812077,infection,644,982,0,10,8,0,0,0,18
1.709984170847316,infection,433,981,0,11,8,0,0,0,19
1.7648474233092992,infection,880,980,0,12,8,0,0,0,20
1.797483398566006,recovery,433,980,0,11,9,0,0,0,20
2.0701292052553053,recovery,994,980,0,10,10,0,0,0,20
2.209766623356263,infection,645,979,0,11,10,0,0,0,21
2.535188898987081,infection,516,978,0,12,10,0,0,0,22
2.5511093213461637,infection,862,977,0,13,10,0,0,0,23
2.6186027801742138,infection,809,976,0,14,10,0,0,0,24
2.6215843503202096,infection,215,975,0,15,10,0,0,0,25
2.786679836368273,recovery,855,975,0,14,11,0,0,0,25
2.9199275978958066,recovery,106,975,0,13,12,0,0,0,25
3.0135072872720468,infection,968,974,0,14,12,0,0,0,26
3.2957883966106394,recovery,447,974,0,13,13,0,0,0,26
3.329976907036333,recovery,880,974,0,12,14,0,0,0,26
3.4618768527791777,infection,327,973,0,13,14,0,0,0,27
3.5972239348112782,recovery,991,973,0,12,15,0,0,0,27
3.704917105937028,infection,598,972,0,13,15,0,0,0,28
3.74101004212991,infection,329,971,0,14,15,0,0,0,29
3.743137527031477,infection,277,970,0,15,15,0,0,0,30
3.941047934515514,recovery,327,970,0,14,16,0,0,0,30
3.9694540152036004,recovery,598,970,0,13,17,0,0,0,30
4.216585772759185,infection,328,969,0,14,17,0,0,0,31
4.620221602887001,infection,289,968,0,15,17,0,0,0,32
4.622227391707336,infection,865,967,0,16,17,0,0,0,33
4.635933929148985,infection,505,966,0,17,17,0,0,0,34
4.700253305587037,infection,502,965,0,18,17,0,0,0,35
4.7193190402285365,infection,969,964,0,19,17,0,0,0,36
4.72671391245816,infection,641,963,0,20,17,0,0,0,37
4.776236083541407,recovery,995,963,0,19,18,0,0,0,37
4.860685281496385,infection,965,962,0,20,18,0,0,0,38
4.898850640705812,infection,904,961,0,21,18,0,0,0,39
4.900654104891433,infection,302,960,0,22,18,0,0,0,40
5.004517474465259,infection,817,959,0,23,18,0,0,0,41
5.0101529121553146,recovery,645,959,0,22,19,0,0,0,41
5.019185325097467,recovery,502,959,0,21,20,0,0,0,41
5.0487396838903225,recovery,329,959,0,20,21,0,0,0,41
5.088597916016847,infection,820,958,0,21,21,0,0,0,42
5.167384593910835,recovery,328,958,0,20,22,0,0,0,42
5.284477926782644,recovery,120,958,0,19,23,0,0,0,42
5.312488288547644,infection,458,957,0,20,23,0,0,0,43
5.313922499261045,infection,766,956,0,21,23,0,0,0,44
5.357652574040811,infection,87,955,0,22,23,0,0,0,45
5.411381826846474,infection,695,954,0,23,23,0,0,0,46
5.518389266301594,infection,945,953,0,24,23,0,0,0,47
5.594415065072337,infection,810,952,0,25,23,0,0,0,48
5.601585135247077,infection,718,951,0,26,23,0,0,0,49
5.671011335891995,recovery,809,951,0,25,24,0,0,0,49
5.710095973102828,recovery,718,951,0,24,25,0,0,0,49
5.882759901778028,infection,618,950,0,25,25,0,0,0,50
5.906003507831288,recovery,644,950,0,24,26,0,0,0,50
5.93969042117069,infection,43,949,0,25,26,0,0,0,51
5.951980331907256,infection,875,948,0,26,26,0,0,0,52
5.952914074101421,infection,83,947,0,27,26,0,0,0,53
6.0167710515766935,infection,310,946,0,28,26,0,0,0,54
6.077518052562044,recovery,516,946,0,27,27,0,0,0,54
6.137526813489015,infection,97,945,0,28,27,0,0,0,55
6.210729237434624,infection,171,944,0,29,27,0,0,0,56
6.3844836067405115,infection,749,943,0,30,27,0,0,0,57
6.452682074410861,infection,330,942,0,31,27,0,0,0,58
6.472665905619643,recovery,505,942,0,30,28,0,0,0,58
6.479730167980299,infection,367,941,0,31,28,0,0,0,59
6.580167958130194,recovery,969,941,0,30,29,0,0,0,59
6.6797417398391215,recovery,330,941,0,29,30,0,0,0,59
6.720073538324692,recovery,302,941,0,28,31,0,0,0,59
6.855370129679191,recovery,965,941,0,27,32,0,0,0,59
6.858294947400779,recovery,289,941,0,26,33,0,0,0,59
7.031144078481621,infection,537,940,0,27,33,0,0,0,60
